date, pm25, o3
2020/6/1, 999, 500
2020/6/2, 977, 500
2020/6/3, 999, 500
2020/6/4, 999, 500
2020/6/5, 924, 500
2020/6/6, 955, 500
2020/6/7, 788, 500
2020/6/8, 896, 500
2020/6/9, 987, 500
2020/6/10, 999, 500
2020/6/11, 999, 500
2020/6/12, 966, 500
2020/6/13, 788, 500
2020/6/14, 853, 500
2020/6/15, 928, 500
2020/6/16, 944, 500
2020/6/17, 779, 500
2020/6/18, 795, 500
2020/6/19, 753, 500
2020/6/20, 964, 500
2020/6/21, 954, 500
2020/6/22, 901, 500
2020/6/23, 999, 
2020/5/1, 855, 500
2020/5/2, 895, 500
2020/5/3, 999, 500
2020/5/4, 892, 500
2020/5/5, 815, 500
2020/5/6, 937, 500
2020/5/7, 839, 500
2020/5/8, 847, 500
2020/5/9, 800, 500
2020/5/10, 921, 500
2020/5/11, 920, 500
2020/5/12, 847, 500
2020/5/13, 919, 500
2020/5/14, 927, 500
2020/5/15, 999, 500
2020/5/16, 967, 500
2020/5/17, 797, 500
2020/5/18, 967, 500
2020/5/19, 994, 500
2020/5/20, 863, 500
2020/5/21, 989, 500
2020/5/22, 972, 500
2020/5/23, 915, 500
2020/5/24, 999, 500
2020/5/25, 927, 500
2020/5/26, 996, 500
2020/5/27, 694, 500
2020/5/28, 863, 500
2020/5/29, 821, 500
2020/4/1, 859, 500
2020/4/2, 830, 500
2020/4/3, 853, 500
2020/4/4, 850, 500
2020/4/5, 999, 500
2020/4/6, 953, 500
2020/4/7, 938, 500
2020/4/8, 999, 500
2020/4/9, 959, 500
2020/4/10, 926, 500
2020/4/11, 979, 500
2020/4/12, 999, 500
2020/4/13, 963, 500
2020/4/14, 960, 500
2020/4/15, 971, 500
2020/4/16, 952, 500
2020/4/17, 974, 500
2020/4/18, 971, 500
2020/4/19, 999, 500
2020/4/20, 952, 500
2020/4/21, 974, 500
2020/4/22, 951, 500
2020/4/23, 981, 500
2020/4/24, 947, 500
2020/4/25, 999, 500
2020/4/26, 941, 500
2020/4/27, 781, 500
2020/4/28, 952, 500
2020/4/29, 999, 500
2020/4/30, 999, 500
2020/3/1, 999, 500
2020/3/2, 980, 500
2020/3/3, 999, 500
2020/3/4, 999, 500
2020/3/5, 978, 500
2020/3/6, 981, 500
2020/3/7, 999, 500
2020/3/8, 999, 500
2020/3/9, 999, 500
2020/3/10, 999, 500
2020/3/11, 997, 500
2020/3/12, 999, 500
2020/3/13, 971, 500
2020/3/14, 999, 500
2020/3/15, 999, 500
2020/3/16, 999, 500
2020/3/17, 982, 500
2020/3/18, 994, 500
2020/3/19, 989, 500
2020/3/20, 986, 500
2020/3/21, 994, 500
2020/3/22, 999, 500
2020/3/23, 877, 500
2020/3/24, 967, 
2020/3/25, 999, 500
2020/3/26, 999, 500
2020/3/27, 944, 500
2020/3/28, 960, 500
2020/3/29, 979, 500
