Date,Open,High,Low,Close,Volume,Currency
2010-03-22,337.58,338.53,334.0,338.13,88797304,EUR
2010-03-23,338.33,342.41,338.31,341.51,92427272,EUR
2010-03-24,342.74,343.33,338.99,341.74,83862864,EUR
2010-03-25,341.49,346.0,341.49,345.61,108690464,EUR
2010-03-26,344.1,345.39,343.33,343.81,85028576,EUR
2010-03-29,344.03,345.39,342.51,343.96,72582248,EUR
2010-03-30,345.24,346.08,343.27,343.6,77047904,EUR
2010-03-31,343.42,345.66,342.16,344.22,85742472,EUR
2010-04-01,345.9,351.46,345.9,351.44,103664080,EUR
2010-04-06,353.14,355.61,352.87,355.61,101898360,EUR
2010-04-07,355.84,356.13,353.49,353.89,94269488,EUR
2010-04-08,352.27,352.57,349.51,350.89,101033408,EUR
2010-04-09,353.91,356.25,353.91,355.89,89993648,EUR
2010-04-12,358.05,358.2,354.39,355.34,72826944,EUR
2010-04-13,353.66,355.71,352.75,354.43,84823944,EUR
2010-04-14,356.34,357.92,355.92,356.67,95541672,EUR
2010-04-15,356.49,356.76,353.18,355.57,96165416,EUR
2010-04-16,354.15,356.6,349.22,349.75,142228320,EUR
2010-04-19,348.88,350.8,346.97,348.57,125195912,EUR
2010-04-20,350.25,354.98,349.43,354.86,117475448,EUR
2010-04-21,356.38,356.48,352.94,353.66,104444216,EUR
2010-04-22,353.77,356.75,349.88,351.31,132257256,EUR
2010-04-23,352.72,355.14,351.06,353.38,127389848,EUR
2010-04-26,356.93,358.23,355.8,357.43,103423560,EUR
2010-04-27,356.7,356.86,349.12,349.12,143744240,EUR
2010-04-28,346.58,349.02,341.95,344.55,200962784,EUR
2010-04-29,345.46,349.37,342.72,348.46,142780256,EUR
2010-04-30,348.31,351.32,344.13,345.91,130848384,EUR
2010-05-03,345.41,348.17,342.45,346.94,72889544,EUR
2010-05-04,347.86,348.86,334.88,335.86,170587968,EUR
2010-05-05,335.46,336.76,328.73,330.78,168153152,EUR
2010-05-06,327.15,333.45,325.18,326.19,195235872,EUR
2010-05-07,316.78,323.21,307.71,312.35,293486336,EUR
2010-05-10,323.91,335.24,322.36,335.24,278265344,EUR
2010-05-11,331.46,334.01,327.79,333.48,145978512,EUR
2010-05-12,332.78,338.76,330.79,336.9,177803504,EUR
2010-05-13,340.05,340.05,335.54,337.8,97972736,EUR
2010-05-14,336.26,336.26,326.1,327.24,153943968,EUR
2010-05-17,324.1,330.23,323.2,326.57,130447448,EUR
2010-05-18,331.02,333.03,327.8,331.0,115618896,EUR
2010-05-19,326.17,327.93,320.73,321.45,164436272,EUR
2010-05-20,323.28,324.72,308.75,314.86,205013104,EUR
2010-05-21,312.84,315.48,306.29,313.41,217943248,EUR
2010-05-24,315.8,317.62,310.34,313.57,92781920,EUR
2010-05-25,303.95,306.39,301.48,305.03,172128864,EUR
2010-05-26,310.45,315.44,308.04,312.0,164578624,EUR
2010-05-27,314.63,321.2,314.38,321.16,134945648,EUR
2010-05-28,323.83,324.03,319.91,320.64,96899960,EUR
2010-05-31,320.06,322.87,319.52,320.7,43268424,EUR
2010-06-01,319.49,322.99,314.47,321.21,121512976,EUR
2010-06-02,318.77,322.84,316.45,322.56,95636576,EUR
2010-06-03,328.48,329.82,326.59,327.03,110031424,EUR
2010-06-04,328.18,331.3,320.29,321.22,142577232,EUR
2010-06-07,315.7,320.58,315.34,317.54,108029728,EUR
2010-06-08,318.71,318.97,311.82,314.83,127059368,EUR
2010-06-09,317.5,320.71,313.7,320.63,110800176,EUR
2010-06-10,318.71,326.71,317.98,325.42,114396656,EUR
2010-06-11,326.97,327.31,321.81,325.56,120467256,EUR
2010-06-14,328.86,331.5,328.57,331.45,100438912,EUR
2010-06-15,329.12,334.63,328.91,333.82,101829624,EUR
2010-06-16,336.47,336.47,332.43,334.76,112382096,EUR
2010-06-17,334.66,336.91,333.25,335.26,100285120,EUR
2010-06-18,335.93,336.89,334.17,336.06,114690016,EUR
2010-06-21,341.55,343.32,340.11,341.04,91305696,EUR
2010-06-22,338.64,340.37,336.9,339.8,88625456,EUR
2010-06-23,336.05,339.07,333.72,335.11,84037080,EUR
2010-06-24,337.39,337.42,328.49,329.22,86777640,EUR
2010-06-25,329.67,330.34,325.26,325.99,86201880,EUR
2010-06-28,327.33,331.04,325.39,330.46,73886472,EUR
2010-06-29,326.35,326.5,318.14,319.03,115780344,EUR
2010-06-30,319.85,320.31,315.81,316.81,115476544,EUR
2010-07-01,313.05,314.81,306.42,307.87,129509616,EUR
2010-07-02,310.38,312.64,308.18,308.2,96297984,EUR
2010-07-05,309.22,309.58,306.27,306.27,53436140,EUR
2010-07-06,308.33,316.83,307.89,314.43,92713904,EUR
2010-07-07,311.16,317.84,308.6,317.56,104637624,EUR
2010-07-08,320.71,323.48,318.54,322.62,107209016,EUR
2010-07-09,324.63,325.94,322.99,324.42,72469328,EUR
2010-07-12,325.7,328.36,323.9,326.56,63699712,EUR
2010-07-13,327.39,334.4,327.33,333.76,84711968,EUR
2010-07-14,336.42,336.73,332.74,335.03,76180720,EUR
2010-07-15,334.16,335.31,328.09,329.76,97641168,EUR
2010-07-16,330.29,332.12,322.7,323.99,107765800,EUR
2010-07-19,322.33,325.76,321.12,322.0,71897992,EUR
2010-07-20,324.14,324.35,317.31,320.46,82120792,EUR
2010-07-21,323.73,328.81,323.61,326.36,82998560,EUR
2010-07-22,325.1,335.25,324.55,335.2,101607264,EUR
2010-07-23,335.63,338.13,333.9,337.14,86904736,EUR
2010-07-26,339.73,339.87,335.62,337.82,89384304,EUR
2010-07-27,339.31,340.59,337.11,338.08,134230128,EUR
2010-07-28,338.7,339.97,333.93,335.03,108849712,EUR
2010-07-29,335.19,336.73,331.95,332.13,103932816,EUR
2010-07-30,331.02,334.3,327.34,330.64,125405824,EUR
2010-08-02,333.3,339.97,332.45,339.66,95889456,EUR
2010-08-03,339.55,339.94,336.37,339.0,88658832,EUR
2010-08-04,337.66,341.0,335.12,339.2,85440640,EUR
2010-08-05,339.07,340.61,335.66,336.57,93498944,EUR
2010-08-06,337.52,338.93,329.76,331.19,100212280,EUR
2010-08-09,334.56,336.56,334.12,335.89,58963928,EUR
2010-08-10,334.71,335.44,331.31,333.14,76303960,EUR
2010-08-11,330.23,331.02,324.84,324.99,108752736,EUR
2010-08-12,323.07,326.22,321.47,324.12,112963504,EUR
2010-08-13,326.14,326.51,321.26,323.92,94724656,EUR
2010-08-16,324.5,325.37,320.19,323.14,63164960,EUR
