Date,Open,High,Low,Close,Volume,Currency
2010-03-22,2630.97,2636.22,2608.35,2634.45,20620880,EUR
2010-03-23,2635.6,2656.37,2633.82,2649.34,16451913,EUR
2010-03-24,2653.97,2657.43,2628.09,2649.7,16297853,EUR
2010-03-25,2647.39,2673.95,2640.1,2672.1,22942988,EUR
2010-03-26,2664.32,2670.11,2651.48,2656.93,15316354,EUR
2010-03-29,2664.49,2670.9,2657.36,2665.4,14355453,EUR
2010-03-30,2671.56,2677.86,2655.64,2656.12,18492772,EUR
2010-03-31,2650.75,2660.66,2633.33,2648.46,24159860,EUR
2010-04-01,2656.85,2681.0,2656.22,2680.56,20949680,EUR
2010-04-06,2688.75,2699.13,2681.79,2696.66,25267120,EUR
2010-04-07,2696.34,2710.97,2693.5,2696.96,18794274,EUR
2010-04-08,2686.84,2687.91,2652.93,2668.62,27978044,EUR
2010-04-09,2685.8,2702.87,2685.73,2702.87,22648096,EUR
2010-04-12,2723.27,2725.69,2707.29,2714.81,22940590,EUR
2010-04-13,2712.74,2722.33,2697.66,2708.98,38250360,EUR
2010-04-14,2716.19,2720.23,2700.26,2716.7,20045960,EUR
2010-04-15,2706.23,2720.6,2690.51,2715.16,21435900,EUR
2010-04-16,2706.76,2722.44,2681.57,2687.36,30079008,EUR
2010-04-19,2664.82,2678.07,2661.34,2667.96,18525088,EUR
2010-04-20,2673.52,2685.43,2662.04,2681.07,18631580,EUR
2010-04-21,2685.33,2691.65,2659.91,2660.86,24714776,EUR
2010-04-22,2660.74,2676.35,2623.57,2630.94,30492976,EUR
2010-04-23,2634.42,2658.16,2623.44,2644.14,27017180,EUR
2010-04-26,2665.34,2674.08,2648.16,2656.28,22602728,EUR
2010-04-27,2655.4,2658.87,2567.68,2567.68,42582360,EUR
2010-04-28,2545.22,2550.67,2470.36,2506.19,68563232,EUR
2010-04-29,2509.32,2570.49,2497.83,2561.69,35531880,EUR
2010-04-30,2575.63,2585.23,2547.93,2560.99,32889926,EUR
2010-05-03,2561.42,2582.77,2547.83,2572.46,22819868,EUR
2010-05-04,2578.65,2581.96,2496.26,2504.25,48503588,EUR
2010-05-05,2485.01,2494.83,2432.83,2446.22,50909620,EUR
2010-05-06,2423.16,2463.16,2400.6,2400.78,50562684,EUR
2010-05-07,2348.93,2376.34,2288.83,2296.81,85957808,EUR
2010-05-10,2405.54,2511.98,2404.39,2511.98,93580032,EUR
2010-05-11,2503.36,2503.36,2451.83,2483.53,41942612,EUR
2010-05-12,2481.65,2551.32,2466.99,2540.36,40455916,EUR
2010-05-13,2549.51,2556.83,2517.17,2534.85,19655974,EUR
2010-05-14,2523.22,2523.79,2441.16,2447.17,33253296,EUR
2010-05-17,2410.01,2467.35,2402.97,2439.07,28925516,EUR
2010-05-18,2473.33,2496.76,2463.57,2485.24,22865198,EUR
2010-05-19,2452.36,2473.11,2426.21,2432.85,44584560,EUR
2010-05-20,2448.53,2459.46,2356.13,2386.49,46450056,EUR
2010-05-21,2382.59,2402.05,2337.87,2395.65,45934296,EUR
2010-05-24,2421.19,2431.9,2379.87,2402.45,15855824,EUR
2010-05-25,2344.34,2352.99,2318.11,2329.79,34808916,EUR
2010-05-26,2362.0,2413.16,2362.0,2386.45,32053456,EUR
2010-05-27,2409.18,2469.56,2405.99,2469.56,48112488,EUR
2010-05-28,2485.19,2485.19,2452.03,2460.54,30552246,EUR
2010-05-31,2448.5,2460.04,2443.66,2453.37,12742359,EUR
2010-06-01,2440.86,2473.92,2414.29,2466.0,23832116,EUR
2010-06-02,2445.68,2467.87,2421.83,2464.25,22502548,EUR
2010-06-03,2498.8,2509.04,2482.72,2484.27,26904802,EUR
2010-06-04,2493.58,2503.17,2415.43,2429.67,30511468,EUR
2010-06-07,2403.33,2437.2,2388.18,2412.05,24688390,EUR
2010-06-08,2420.0,2425.7,2372.53,2390.89,26929288,EUR
2010-06-09,2409.1,2425.68,2387.26,2425.68,24795412,EUR
2010-06-10,2411.35,2465.1,2402.22,2463.32,25737734,EUR
2010-06-11,2473.42,2476.26,2441.47,2463.85,29996428,EUR
2010-06-14,2480.07,2498.24,2479.17,2498.24,20694900,EUR
2010-06-15,2478.26,2512.1,2473.1,2509.31,24748896,EUR
2010-06-16,2529.02,2529.07,2498.21,2513.8,22293678,EUR
2010-06-17,2515.31,2535.53,2508.21,2523.36,25649020,EUR
2010-06-18,2523.78,2537.25,2518.91,2528.93,36586848,EUR
2010-06-21,2551.5,2569.5,2544.08,2549.84,21944514,EUR
2010-06-22,2529.18,2550.24,2519.49,2536.22,18394084,EUR
2010-06-23,2510.7,2524.56,2487.42,2494.34,19396784,EUR
2010-06-24,2505.67,2506.26,2449.36,2455.8,25026928,EUR
2010-06-25,2456.97,2474.09,2432.98,2441.65,23535820,EUR
2010-06-28,2449.66,2462.82,2429.88,2461.96,18734680,EUR
2010-06-29,2430.72,2431.56,2377.95,2382.48,24821636,EUR
2010-06-30,2387.07,2403.22,2373.51,2386.53,26839480,EUR
2010-07-01,2361.22,2371.04,2329.44,2336.12,30219850,EUR
2010-07-02,2350.04,2360.86,2329.11,2337.29,24568880,EUR
2010-07-05,2347.86,2348.97,2328.3,2329.6,13024275,EUR
2010-07-06,2341.94,2396.38,2341.94,2389.28,28527142,EUR
2010-07-07,2373.81,2415.81,2355.76,2415.81,23566320,EUR
2010-07-08,2429.46,2458.51,2429.46,2455.99,24367612,EUR
2010-07-09,2468.1,2471.99,2455.73,2462.75,16270902,EUR
