Date,Open,High,Low,Close,Volume,Currency
2010-03-22,53096.62,53892.39,53063.43,53892.39,605270016,TRY
2010-03-23,53959.91,54642.76,53959.91,54351.7,562851008,TRY
2010-03-24,54611.77,55360.15,54269.08,55136.6,983006976,TRY
2010-03-25,55312.46,57044.66,55172.53,57044.66,812072000,TRY
2010-03-26,57010.68,57645.35,56198.32,56610.66,654382976,TRY
2010-03-29,57069.41,57338.61,56244.68,56668.2,568744000,TRY
2010-03-30,56819.81,57121.32,56454.53,56754.41,684652992,TRY
2010-03-31,56634.47,57567.4,56303.03,56538.37,755283008,TRY
2010-04-01,56822.26,57708.21,56696.49,57708.21,579902016,TRY
2010-04-02,57757.13,58383.65,57642.32,58059.86,444456992,TRY
2010-04-05,58499.65,58896.62,58184.28,58644.98,445420992,TRY
2010-04-06,58291.17,58763.11,57752.14,58406.36,457663008,TRY
2010-04-07,58499.21,58681.07,58013.26,58645.61,570972032,TRY
2010-04-08,58062.89,58539.97,57905.89,58412.05,625361024,TRY
2010-04-09,58784.79,59592.87,58712.87,59185.3,746382016,TRY
2010-04-12,59670.23,59720.36,58574.51,58821.64,631473024,TRY
2010-04-13,58570.24,58967.27,57759.01,58075.39,523908992,TRY
2010-04-14,58570.98,59330.34,58426.08,59330.34,705150976,TRY
2010-04-15,59639.26,59771.82,58623.85,59055.09,873665984,TRY
2010-04-16,58435.11,59201.32,57946.94,58223.53,1100221952,TRY
2010-04-19,57291.3,58291.63,56770.58,58153.03,732227008,TRY
2010-04-20,58380.64,59070.32,58372.96,58886.09,692150016,TRY
2010-04-21,59341.76,59482.67,58161.41,58450.85,686574016,TRY
2010-04-22,58573.48,58936.81,57814.29,58338.36,612809024,TRY
2010-04-26,59425.9,59526.07,58623.0,59043.16,637889024,TRY
2010-04-27,58972.71,59009.76,58017.7,58217.4,566052992,TRY
2010-04-28,57310.87,58069.82,56867.01,57933.09,713595008,TRY
2010-04-29,58160.61,58760.13,57899.42,58702.82,564686016,TRY
2010-04-30,58840.31,59285.16,57988.79,58959.1,618497984,TRY
2010-05-03,58794.35,58996.85,58305.32,58400.21,573054016,TRY
2010-05-04,58565.3,58861.1,56862.19,57341.03,692899008,TRY
2010-05-05,57259.68,57587.34,56112.15,56441.12,664947008,TRY
2010-05-06,56226.12,56809.01,55595.42,55763.57,524132992,TRY
2010-05-07,53804.87,54381.82,52570.52,52686.97,885777984,TRY
2010-05-10,54956.24,56585.89,54956.24,56448.0,716636992,TRY
2010-05-11,56092.28,56519.24,55460.73,56461.72,562444032,TRY
2010-05-12,56530.06,58044.62,56530.06,57976.46,743347008,TRY
2010-05-13,58557.53,58708.83,57387.3,57929.65,680979008,TRY
2010-05-14,57765.48,58036.1,55590.23,55747.88,642201024,TRY
2010-05-17,54860.74,56116.99,54507.22,56071.09,590992000,TRY
2010-05-18,56620.97,57061.98,56078.71,56978.25,557260032,TRY
2010-05-20,55768.12,56260.91,54248.2,54449.88,674852992,TRY
2010-05-21,54604.1,54989.35,53365.2,54111.6,847955008,TRY
2010-05-24,54431.22,54992.77,53761.47,54558.16,551115008,TRY
2010-05-25,53200.79,53292.31,51757.2,52257.07,606476032,TRY
2010-05-26,53023.19,54251.34,52404.66,54103.5,694196992,TRY
2010-05-27,53946.93,54583.24,53885.81,54497.95,786614976,TRY
2010-05-28,55075.77,55467.09,54666.9,55233.68,750622016,TRY
2010-05-31,54237.76,54536.51,53888.6,54384.94,531345984,TRY
2010-06-01,54196.6,54520.43,53287.09,54460.36,583019008,TRY
2010-06-02,54123.24,55241.81,53942.64,55212.5,742180992,TRY
2010-06-03,56143.05,56390.97,55275.17,55407.21,686457024,TRY
2010-06-04,55394.65,55749.21,54136.45,54612.93,569721984,TRY
2010-06-07,53376.49,54408.12,53205.91,54306.63,425316000,TRY
2010-06-08,54408.95,54755.23,53392.6,53664.36,553550016,TRY
2010-06-09,54065.06,54456.8,53393.38,54304.92,438728992,TRY
2010-06-10,54194.59,55066.53,53772.76,54861.83,465808000,TRY
2010-06-11,55185.87,55416.13,54583.39,55131.63,378192992,TRY
2010-06-14,55667.58,55962.45,55160.23,55688.81,340219008,TRY
2010-06-15,55248.04,56510.36,55194.72,56421.32,485272992,TRY
2010-06-16,56881.0,57080.44,56064.01,56402.91,428344000,TRY
2010-06-17,56471.71,57641.81,56378.52,56891.01,483688000,TRY
2010-06-18,57122.23,57455.45,56576.96,57034.47,398327008,TRY
2010-06-21,57780.43,57789.4,56675.16,57277.18,365753984,TRY
2010-06-22,56646.82,57213.4,56493.12,57007.01,306939008,TRY
2010-06-23,56718.02,56798.11,55620.63,55906.38,321815008,TRY
2010-06-24,56157.64,56375.47,55344.33,55915.67,301704992,TRY
2010-06-25,55813.85,56264.19,55637.09,55864.24,269259008,TRY
2010-06-28,56058.28,56676.51,55960.45,56433.12,275879008,TRY
2010-06-29,56020.09,56191.06,54926.78,55215.32,320468000,TRY
2010-06-30,55328.33,55904.89,54536.63,54839.46,311156000,TRY
2010-07-01,54237.68,54887.82,53911.38,54534.28,343457984,TRY
2010-07-02,54868.14,55636.45,54696.13,55636.45,316136000,TRY
2010-07-05,55714.34,56067.82,55488.43,55715.5,204692992,TRY
2010-07-06,55983.22,56875.15,55926.77,56787.75,437956000,TRY
2010-07-07,56455.88,56928.84,55967.53,56798.55,342097984,TRY
