Date,Open,High,Low,Close,Volume,Currency
2011-02-24,18135.12,18135.12,17559.7,17632.41,23039,INR
2011-02-25,17775.08,17812.44,17469.97,17700.91,21879,INR
2011-02-28,17811.08,18296.53,17718.88,17823.4,29943,INR
2011-03-01,17982.28,18478.68,17964.39,18446.5,24758,INR
2011-03-03,18318.32,18603.57,18253.62,18489.76,28607,INR
2011-03-04,18622.7,18736.97,18448.69,18486.45,19886,INR
2011-03-07,18361.65,18363.45,18058.71,18222.67,15202,INR
2011-03-08,18277.34,18466.81,18266.62,18439.65,13801,INR
2011-03-09,18522.8,18583.3,18303.8,18469.95,22621,INR
2011-03-10,18430.84,18430.84,18261.26,18327.98,18675,INR
2011-03-11,18248.11,18368.43,18063.29,18174.09,20594,INR
2011-03-14,18167.1,18463.84,18155.43,18439.48,15376,INR
2011-03-15,18113.79,18326.33,17920.55,18167.64,22341,INR
2011-03-16,18263.68,18444.47,18263.68,18358.69,16222,INR
2011-03-17,18227.16,18354.27,18104.02,18149.87,18124,INR
2011-03-18,18251.18,18259.61,17849.53,17878.81,16402,INR
2011-03-21,17984.72,18007.73,17792.17,17839.05,12446,INR
2011-03-22,17929.09,18041.38,17878.8,17988.3,11772,INR
2011-03-23,17972.04,18218.28,17950.17,18206.16,13344,INR
2011-03-24,18286.42,18373.97,18269.32,18350.74,11112,INR
2011-03-25,18480.69,18858.3,18480.69,18815.64,15256,INR
2011-03-28,18799.71,19024.18,18799.57,18943.14,12858,INR
2011-03-29,18949.57,19226.21,18944.82,19120.8,17265,INR
2011-03-30,19178.77,19357.1,19178.77,19290.18,12176,INR
2011-03-31,19339.75,19575.16,19284.35,19445.22,16182,INR
2011-04-01,19463.11,19562.55,19382.35,19420.39,12460,INR
2011-04-04,19473.93,19729.6,19449.36,19701.73,10663,INR
2011-04-05,19731.38,19770.21,19523.54,19686.82,12646,INR
2011-04-06,19698.61,19811.14,19550.55,19612.2,14365,INR
2011-04-07,19620.88,19665.09,19537.02,19591.18,9622,INR
2011-04-08,19602.81,19697.21,19388.42,19451.45,10440,INR
2011-04-11,19382.91,19426.3,19242.59,19262.54,9442,INR
2011-04-13,19187.01,19737.33,19101.63,19696.86,17836,INR
2011-04-15,19670.07,19700.96,19337.12,19386.82,17083,INR
2011-04-18,19389.74,19649.22,19071.47,19091.17,13766,INR
2011-04-19,19091.78,19201.92,18976.19,19121.83,11306,INR
