Date,Open,High,Low,Close,Volume,Currency
2010-03-22,68813.61,69121.09,67899.04,69041.73,1395190,BRL
2010-03-23,69048.73,69612.73,68913.43,69386.72,1606596,BRL
2010-03-24,69382.16,69677.2,68743.65,68913.4,1597471,BRL
2010-03-25,68915.98,69571.95,68376.52,68441.66,1478365,BRL
2010-03-26,68442.2,68909.81,68024.37,68682.66,1771487,BRL
2010-03-29,68681.26,69942.63,68681.26,69939.12,1528017,BRL
2010-03-30,69941.84,70450.66,69750.47,69959.58,1490014,BRL
2010-03-31,69959.58,70391.8,69573.05,70371.54,1676781,BRL
2010-04-01,70374.54,71401.09,70373.04,71136.34,1552732,BRL
2010-04-05,71148.45,71645.26,71148.45,71289.68,1315908,BRL
2010-04-06,71289.63,71711.44,70822.81,71095.65,1696930,BRL
2010-04-07,71092.38,71257.34,70531.05,70792.94,1720487,BRL
2010-04-08,70792.54,71805.04,70461.58,71784.77,1701792,BRL
2010-04-09,71783.16,71989.18,71306.97,71417.27,1679943,BRL
2010-04-12,71413.68,71606.79,70505.44,70614.36,1471544,BRL
2010-04-13,70618.37,71053.49,70168.89,70792.4,1634235,BRL
2010-04-14,70793.63,71207.26,70628.28,71034.85,1758801,BRL
2010-04-15,71036.07,71065.5,70429.28,70524.35,2264690,BRL
2010-04-16,70521.83,70521.83,69012.98,69421.35,2043756,BRL
2010-04-19,69418.33,69431.13,68377.96,69097.58,1721901,BRL
2010-04-20,69100.69,69701.84,69100.69,69318.44,1750232,BRL
2010-04-22,69312.97,69527.72,68080.81,69386.41,1787153,BRL
2010-04-23,69387.87,69709.07,68831.86,69509.49,1366825,BRL
2010-04-26,69509.36,69810.17,68813.33,68871.94,1179358,BRL
2010-04-27,68868.17,68868.17,66499.1,66511.1,2062173,BRL
2010-04-28,66512.66,67253.27,65914.2,66655.71,1855508,BRL
2010-04-29,66660.74,68012.4,66660.74,67978.05,1609398,BRL
2010-04-30,67975.08,67975.08,67242.66,67529.73,2120201,BRL
2010-05-03,67533.75,67968.73,66722.64,67119.41,1776099,BRL
2010-05-04,67116.31,67116.31,64588.17,64869.32,2820097,BRL
2010-05-05,64859.43,65611.84,63533.43,64914.17,2681289,BRL
2010-05-06,64914.73,65533.22,60774.25,63414.22,3207628,BRL
2010-05-07,63416.45,63945.25,61662.52,62870.88,2903498,BRL
2010-05-10,62871.98,66083.32,62871.98,65452.68,2377439,BRL
2010-05-11,65448.75,65732.6,64424.89,64424.89,2401506,BRL
2010-05-12,64438.1,65351.09,64438.1,65223.63,1981424,BRL
2010-05-13,65222.63,65427.44,64737.75,64788.22,1798126,BRL
2010-05-14,64786.55,64786.55,63049.8,63412.47,2220764,BRL
2010-05-17,63406.48,63593.46,61824.6,62866.26,2745965,BRL
2010-05-18,62870.62,63529.29,60809.83,60841.08,2786993,BRL
2010-05-19,60841.08,60849.87,59068.09,59689.32,3203035,BRL
2010-05-20,59684.32,59684.32,57633.9,58192.08,3369255,BRL
2010-05-21,58192.39,60302.72,57996.6,60259.33,2558270,BRL
2010-05-24,60254.88,60849.81,59814.59,59915.14,1792679,BRL
2010-05-25,59911.8,59911.8,57876.18,59184.08,2477879,BRL
2010-05-26,59182.17,60701.42,59178.74,60190.36,3638612,BRL
2010-05-27,60191.17,62261.95,60188.55,62091.77,2387981,BRL
2010-05-28,62080.34,62246.9,61305.31,61946.99,2081579,BRL
2010-05-31,61949.75,63046.51,61949.75,63046.51,1197655,BRL
2010-06-01,63033.1,63033.1,61605.43,61840.99,2253854,BRL
2010-06-02,61836.08,63197.71,61813.53,62942.91,1878413,BRL
2010-06-04,62940.34,62940.34,61422.19,61675.75,1691017,BRL
2010-06-07,61674.96,62118.67,61099.17,61182.92,1626954,BRL
