Date,Open,High,Low,Close,Volume,Currency
2011-03-07,22914.73,23029.09,22818.76,22941.41,0,HUF
2011-03-08,22972.16,22985.22,22553.87,22633.25,0,HUF
2011-03-09,22729.83,22734.59,22288.65,22288.65,0,HUF
2011-03-10,22243.26,22243.26,22002.01,22098.12,0,HUF
2011-03-11,21868.55,22239.37,21863.2,22239.37,0,HUF
2011-03-16,21986.89,22231.39,21808.59,21900.39,0,HUF
2011-03-17,21984.29,22324.95,21786.82,22280.31,0,HUF
2011-03-18,22448.22,22524.03,22161.16,22161.16,0,HUF
2011-03-21,22447.63,22662.35,22408.89,22554.46,0,HUF
2011-03-22,22567.47,22674.15,22485.02,22532.92,0,HUF
2011-03-23,22456.33,22604.16,22140.84,22422.25,0,HUF
2011-03-24,22471.72,22840.88,22356.28,22840.88,0,HUF
2011-03-25,22907.38,23052.63,22809.78,23030.38,0,HUF
2011-03-28,22938.48,22996.41,22741.31,22850.17,0,HUF
2011-03-29,22827.3,22859.4,22614.0,22750.58,0,HUF
2011-03-30,22841.31,23086.2,22839.5,23035.71,0,HUF
2011-03-31,22969.42,23139.4,22945.77,23059.77,0,HUF
2011-04-01,23077.96,23632.05,23056.66,23632.05,0,HUF
2011-04-04,23599.15,23698.07,23480.92,23553.14,0,HUF
2011-04-05,23521.21,23663.84,23452.05,23593.31,0,HUF
2011-04-06,23652.85,24369.64,23652.85,24336.56,0,HUF
2011-04-07,24310.13,24530.59,24079.66,24451.38,0,HUF
2011-04-08,24434.73,24517.69,24325.24,24432.5,0,HUF
2011-04-11,24439.3,24531.44,24262.13,24375.53,0,HUF
2011-04-12,24078.22,24186.34,23711.39,23747.19,0,HUF
2011-04-13,23845.22,24029.58,23831.7,23885.5,0,HUF
2011-04-14,23873.1,24090.13,23695.73,23766.05,0,HUF
2011-04-15,23847.7,24193.64,23822.87,24193.64,0,HUF
2011-04-18,24141.71,24216.94,23263.3,23285.05,0,HUF
2011-04-19,23485.38,23815.81,23323.12,23600.7,0,HUF
2011-04-20,23919.98,24070.08,23836.81,23989.53,0,HUF
2011-04-21,24112.5,24244.53,23994.34,24089.61,0,HUF
2011-04-22,24072.56,24085.98,23935.66,23964.46,0,HUF
2011-04-26,23931.93,24165.83,23891.46,24165.83,0,HUF
2011-04-27,24197.54,24388.14,23853.69,24111.03,0,HUF
2011-04-28,24298.62,24352.01,24031.29,24277.27,0,HUF
2011-04-29,24156.38,24200.74,24031.97,24161.56,0,HUF
2011-05-02,24263.39,24282.97,24131.85,24272.08,0,HUF
2011-05-03,24182.11,24182.11,23785.34,23794.72,0,HUF
2011-05-04,23720.42,23847.13,23488.25,23653.09,0,HUF
2011-05-05,23676.83,23802.16,23446.7,23670.8,0,HUF
2011-05-06,23513.24,23848.31,23409.0,23712.37,0,HUF
2011-05-09,23781.86,23813.35,23500.91,23614.21,0,HUF
2011-05-10,23647.37,23827.5,23617.27,23783.3,0,HUF
2011-05-11,23791.72,23849.62,23565.88,23627.56,0,HUF
2011-05-12,23407.3,23423.46,23091.82,23366.92,0,HUF
2011-05-13,23401.3,23492.89,23282.42,23337.5,0,HUF
2011-05-16,23263.76,23386.54,23041.48,23147.84,0,HUF
2011-05-17,23157.76,23204.23,22979.54,22979.54,0,HUF
2011-05-18,23113.57,23229.73,23036.98,23058.16,0,HUF
2011-05-19,23180.4,23222.94,22797.21,22835.24,0,HUF
2011-05-20,22814.01,22961.84,22624.5,22624.5,0,HUF
2011-05-23,22428.17,22463.57,22123.21,22463.57,0,HUF
2011-05-24,22514.72,23087.39,22514.72,23061.29,0,HUF
2011-05-25,22776.04,23038.15,22656.02,22779.23,0,HUF
2011-05-26,23020.62,23131.12,22867.24,22867.24,0,HUF
2011-05-27,22941.08,23058.85,22773.11,23058.85,0,HUF
2011-05-30,22908.48,22930.5,22663.91,22786.92,0,HUF
2011-05-31,22856.88,23376.19,22785.02,23376.19,0,HUF
2011-06-01,23400.94,23414.08,23193.69,23298.34,0,HUF
2011-06-02,23084.95,23405.35,23058.65,23374.98,0,HUF
2011-06-03,23383.36,23472.48,22841.21,23076.01,0,HUF
2011-06-06,23109.1,23148.93,22943.36,23036.76,0,HUF
2011-06-07,23018.74,23269.57,23018.74,23162.93,0,HUF
2011-06-08,23069.25,23219.62,22942.15,23195.04,0,HUF
2011-06-09,23206.36,23294.5,23067.62,23213.21,0,HUF
2011-06-10,23222.47,23251.5,22939.55,23002.59,0,HUF
2011-06-14,23076.94,23192.27,23016.07,23146.33,0,HUF
2011-06-15,23106.31,23106.31,22712.79,22823.59,0,HUF
2011-06-16,22607.54,22746.67,22546.86,22674.66,0,HUF
2011-06-17,22664.42,22797.46,22510.37,22701.93,0,HUF
2011-06-20,22612.52,22641.63,22401.75,22488.08,0,HUF
2011-06-21,22578.9,22656.42,22346.27,22482.63,0,HUF
2011-06-22,22568.71,22596.87,22448.16,22539.17,0,HUF
2011-06-23,22497.38,22497.38,22051.87,22304.4,0,HUF
2011-06-24,22391.27,22565.87,22308.56,22378.79,0,HUF
2011-06-27,22280.86,22502.55,22232.89,22484.6,0,HUF
2011-06-28,22497.8,22697.58,22476.1,22610.62,0,HUF
2011-06-29,22691.65,22862.87,22586.91,22701.75,0,HUF
2011-06-30,22769.86,22798.91,22540.97,22693.74,0,HUF
2011-07-01,22699.9,22830.37,22439.83,22830.37,0,HUF
2011-07-04,22776.08,22940.07,22632.55,22632.55,0,HUF
2011-07-05,22460.68,22576.68,22314.64,22376.82,0,HUF
2011-07-06,22381.36,22569.56,22048.97,22115.37,0,HUF
2011-07-07,22216.61,22491.26,22143.62,22484.43,0,HUF
2011-07-08,22560.89,22615.25,22185.21,22314.15,0,HUF
2011-07-11,22176.52,22243.57,21815.8,21815.8,0,HUF
2011-07-12,21749.97,21897.59,21392.18,21768.76,0,HUF
2011-07-13,21947.87,22276.1,21855.88,22276.1,0,HUF
2011-07-14,22172.41,22285.21,22080.92,22153.01,0,HUF
2011-07-15,22149.69,22149.69,21811.69,22089.12,0,HUF
2011-07-18,21893.84,21946.12,21234.09,21277.43,0,HUF
2011-07-19,21460.1,21605.08,21296.65,21353.6,0,HUF
2011-07-20,21550.36,21621.95,21393.33,21503.95,0,HUF
2011-07-21,21587.91,21973.67,21362.04,21927.69,0,HUF
2011-07-22,22102.14,22131.65,21676.6,21890.7,0,HUF
2011-07-25,21468.95,21869.36,21444.62,21869.36,0,HUF
2011-07-26,21914.4,22000.42,21684.7,21724.7,0,HUF
2011-07-27,21708.55,21752.91,21387.93,21418.71,0,HUF
2011-07-28,21328.18,21466.4,21203.85,21322.5,0,HUF
2011-07-29,21233.34,21617.93,21006.09,21617.93,0,HUF
2011-08-01,21714.83,21752.12,21078.89,21133.02,0,HUF
2011-08-02,21008.12,21045.42,20780.1,20811.31,0,HUF
2011-08-03,20427.88,20768.67,20228.55,20527.3,0,HUF
2011-08-04,20580.42,20669.75,19831.74,20067.15,0,HUF
2011-08-05,19137.76,19745.31,19117.86,19733.14,0,HUF
2011-08-08,19183.07,19706.65,19043.65,19112.42,0,HUF
2011-08-09,19154.42,19384.42,18000.26,18638.62,0,HUF
2011-08-10,18975.39,19159.58,17063.51,17381.28,0,HUF
2011-08-11,17555.58,17961.44,16724.3,17746.91,0,HUF
2011-08-12,17694.63,18250.94,17535.7,18032.49,0,HUF
2011-08-15,18385.87,18948.31,18346.07,18840.19,0,HUF
2011-08-16,18777.97,18783.81,18102.44,18321.89,0,HUF
2011-08-17,18363.49,18794.06,18052.78,18630.97,0,HUF
2011-08-18,18403.63,18608.54,17840.85,18103.6,0,HUF
2011-08-19,17923.01,17987.32,17342.06,17780.92,0,HUF
2011-08-22,17695.27,18537.09,17630.41,18105.79,0,HUF
2011-08-23,18348.5,18643.69,18005.97,18133.58,0,HUF
2011-08-24,18345.48,18351.28,18000.67,18000.67,0,HUF
2011-08-25,18267.66,18327.5,17635.45,17772.67,0,HUF
2011-08-26,17756.52,17909.31,17355.15,17839.86,0,HUF
2011-08-29,18019.37,18532.42,18006.76,18315.83,0,HUF
2011-08-30,18525.09,18561.14,18091.21,18091.21,0,HUF
2011-08-31,18258.4,18471.25,18005.1,18471.25,0,HUF
2011-09-01,18501.1,18513.27,17967.93,18264.8,0,HUF
2011-09-02,18117.38,18317.39,18044.33,18233.03,0,HUF
2011-09-05,18194.56,18194.56,17533.79,17679.52,0,HUF
2011-09-06,17678.61,18140.34,17455.89,17846.91,0,HUF
2011-09-07,18076.43,18501.75,17999.45,18486.05,0,HUF
2011-09-08,18531.11,18531.11,18010.99,18166.97,0,HUF
2011-09-09,18102.93,18119.78,16644.17,17041.97,0,HUF
2011-09-12,16791.33,16791.33,16353.87,16540.74,0,HUF
2011-09-13,16631.26,16869.38,16172.35,16489.35,0,HUF
