Date,Open,High,Low,Close,Volume,Currency
2010-03-22,3744.92,3768.0,3743.0,3743.0,11427002,LKR
2010-03-23,3743.0,3764.92,3730.67,3730.67,14134349,LKR
2010-03-24,3730.67,3734.46,3718.26,3722.72,24982448,LKR
2010-03-25,3722.72,3734.91,3715.95,3730.43,40140416,LKR
2010-03-26,3730.43,3790.24,3730.43,3773.76,21278316,LKR
2010-03-30,3773.76,3789.45,3764.41,3765.07,11522936,LKR
2010-03-31,3765.07,3768.05,3722.87,3724.59,14716341,LKR
2010-04-01,3724.59,3751.92,3724.59,3746.5,8643255,LKR
2010-04-05,3746.5,3787.33,3746.5,3781.9,13173365,LKR
2010-04-06,3781.9,3882.23,3781.9,3870.35,25694510,LKR
2010-04-07,3870.46,3919.91,3870.46,3909.61,47197696,LKR
2010-04-08,3909.61,3952.45,3909.61,3939.62,31822746,LKR
2010-04-12,3939.79,3981.67,3939.79,3958.78,33129014,LKR
2010-04-15,3958.78,3967.19,3948.78,3955.83,26724176,LKR
2010-04-16,3955.83,3980.24,3955.83,3966.87,37159584,LKR
2010-04-19,3966.93,4025.69,3966.93,4015.36,104109144,LKR
2010-04-20,4015.46,4044.94,4014.65,4022.37,72797328,LKR
2010-04-21,4022.26,4052.1,4019.37,4038.89,73108200,LKR
2010-04-22,4038.89,4099.88,4038.89,4077.55,58785912,LKR
2010-04-23,4077.56,4131.84,4077.56,4121.64,53495796,LKR
2010-04-26,4121.64,4161.56,4121.64,4136.05,64849840,LKR
2010-04-27,4136.05,4154.13,4134.46,4134.46,50469552,LKR
2010-04-29,4134.46,4176.83,4134.46,4155.0,132361528,LKR
2010-04-30,4155.0,4197.22,4154.92,4188.88,62942632,LKR
2010-05-03,4188.88,4246.08,4188.88,4219.22,111570160,LKR
2010-05-04,4219.33,4231.76,4182.59,4205.51,73771712,LKR
2010-05-05,4205.51,4260.11,4205.5,4219.76,157164032,LKR
2010-05-06,4219.76,4256.64,4217.52,4219.6,79281384,LKR
2010-05-07,4219.72,4250.43,4219.22,4223.13,94702976,LKR
2010-05-10,4223.13,4255.06,4217.74,4222.04,43489272,LKR
2010-05-11,4222.04,4236.94,4212.46,4215.22,58187280,LKR
2010-05-12,4215.22,4244.98,4215.22,4229.41,77264408,LKR
2010-05-13,4229.4,4256.71,4215.69,4242.67,33288054,LKR
2010-05-14,4242.67,4274.65,4242.54,4252.44,40576968,LKR
2010-05-17,4252.44,4273.71,4241.7,4242.49,34528240,LKR
2010-05-18,4242.49,4268.81,4242.24,4257.67,32844948,LKR
2010-05-19,4257.67,4271.85,4243.42,4243.54,35383212,LKR
