Date,Open,High,Low,Close,Volume,Currency
2011-08-15,124.89,125.72,124.87,125.41,15037400,NZD
2011-08-16,125.47,126.94,125.47,126.59,18602700,NZD
2011-08-17,126.65,127.97,126.65,127.27,19640000,NZD
2011-08-18,127.33,127.61,126.82,127.29,13975100,NZD
2011-08-19,126.67,127.36,125.6,127.16,27218500,NZD
2011-08-22,126.68,127.77,126.6,127.47,17652500,NZD
2011-08-23,127.51,127.72,127.08,127.09,23543900,NZD
2011-08-24,127.48,128.93,127.48,127.82,26751800,NZD
2011-08-25,127.91,128.86,127.79,128.39,25098500,NZD
2011-08-26,128.23,128.24,127.37,127.82,22675300,NZD
2011-08-29,127.99,128.59,127.94,128.08,21060200,NZD
2011-08-30,128.7,129.48,128.35,128.5,16570000,NZD
2011-08-31,128.51,128.53,126.19,127.73,27454900,NZD
2011-09-01,128.16,128.63,127.43,127.64,35974000,NZD
2011-09-02,127.64,127.64,126.24,126.51,20633700,NZD
2011-09-05,126.04,126.1,125.24,126.19,29350800,NZD
2011-09-06,125.48,125.92,125.04,125.62,22596100,NZD
2011-09-07,126.34,126.68,126.03,126.62,21235700,NZD
2011-09-08,126.65,127.63,126.65,126.84,16739700,NZD
2011-09-09,126.89,127.89,126.88,127.59,15595400,NZD
2011-09-12,126.83,126.83,125.4,125.48,18916300,NZD
2011-09-13,125.46,126.63,125.46,126.61,14480400,NZD
2011-09-14,126.95,126.95,125.58,125.72,24469400,NZD
2011-09-15,125.85,126.61,125.85,125.99,22486500,NZD
2011-09-16,125.93,127.19,125.93,126.82,28869100,NZD
2011-09-19,126.82,126.91,125.94,126.7,18480000,NZD
2011-09-20,126.28,127.08,126.13,126.79,16055800,NZD
2011-09-21,127.08,127.57,126.88,127.57,15504900,NZD
2011-09-22,127.27,128.12,127.01,128.12,20785500,NZD
2011-09-23,128.1,128.1,125.74,127.06,17376500,NZD
2011-09-26,126.95,127.01,125.44,125.75,15944700,NZD
2011-09-27,125.76,127.61,125.74,127.34,15821900,NZD
2011-09-28,127.38,127.47,126.43,126.71,18748000,NZD
2011-09-29,126.52,126.89,126.0,126.89,24244900,NZD
2011-09-30,126.95,128.97,126.95,128.97,24875500,NZD
2011-10-03,128.15,128.62,127.27,127.82,13049900,NZD
2011-10-04,127.82,128.19,127.07,128.07,22320400,NZD
2011-10-05,128.29,128.31,127.74,128.12,15217300,NZD
2011-10-06,128.14,128.69,128.12,128.61,23571000,NZD
2011-10-07,128.65,130.02,128.65,129.8,28586100,NZD
2011-10-10,129.08,129.25,128.76,129.15,15672200,NZD
2011-10-11,129.37,129.98,129.37,129.81,19720100,NZD
2011-10-12,127.24,127.28,126.07,126.26,25741900,NZD
2011-10-13,126.26,126.26,124.94,125.14,30222600,NZD
2011-10-14,125.44,125.48,124.85,125.12,15072800,NZD
2011-10-17,125.63,125.71,125.05,125.33,10313800,NZD
2011-10-18,125.3,125.3,123.21,123.76,16307600,NZD
2011-10-19,123.78,125.21,123.77,124.7,20343400,NZD
2011-10-20,124.8,124.96,124.24,124.45,19542300,NZD
2011-10-21,124.45,124.93,124.24,124.24,19190600,NZD
2011-10-25,124.63,125.57,124.23,124.46,24785000,NZD
2011-10-26,124.35,124.35,122.86,124.3,25733200,NZD
2011-10-27,124.34,125.09,124.13,124.53,14673300,NZD
2011-10-28,124.56,126.15,124.56,125.44,23846500,NZD
2011-10-31,125.65,126.05,125.53,125.41,14179800,NZD
2011-11-01,125.3,125.8,125.16,125.79,14887500,NZD
2011-11-02,125.3,125.8,124.28,125.05,21815400,NZD
2011-11-03,125.02,125.53,124.81,125.1,13392500,NZD
2011-11-04,125.53,126.15,125.49,125.8,24493300,NZD
2011-11-07,126.24,126.42,125.92,126.18,14049000,NZD
