Date,Open,High,Low,Close,Volume,Currency
2013-05-06,285.21,287.8,284.31,287.13,0,CNY
2013-05-07,286.41,288.33,285.26,287.64,0,CNY
2013-05-08,288.96,290.33,287.43,289.01,0,CNY
2013-05-09,288.8,288.97,285.26,287.35,0,CNY
2013-05-10,286.47,289.39,286.15,289.38,0,CNY
2013-05-13,289.68,289.87,287.14,288.88,0,CNY
2013-05-14,288.19,288.22,283.83,285.42,0,CNY
2013-05-15,285.62,287.05,285.13,287.05,0,CNY
2013-05-16,286.27,291.51,284.98,291.47,0,CNY
2013-05-17,291.07,296.13,290.97,295.47,0,CNY
2013-05-20,296.0,299.05,295.03,297.79,0,CNY
2013-05-21,297.15,298.58,296.07,298.58,0,CNY
2013-05-22,298.34,300.06,297.1,298.58,0,CNY
2013-05-23,296.93,299.13,294.44,294.74,0,CNY
2013-05-24,295.87,297.21,294.0,296.84,0,CNY
2013-05-27,296.42,298.66,296.35,297.93,0,CNY
2013-05-28,297.94,302.2,296.02,302.19,0,CNY
2013-05-29,302.63,303.96,302.25,302.5,0,CNY
2013-05-30,301.19,302.94,300.65,302.03,0,CNY
2013-05-31,302.75,303.14,299.28,299.45,0,CNY
2013-06-03,299.46,301.41,298.32,299.01,0,CNY
2013-06-04,298.26,298.44,293.37,294.64,0,CNY
2013-06-05,294.54,295.18,292.3,294.15,0,CNY
2013-06-06,292.99,293.41,289.75,290.01,0,CNY
2013-06-07,290.43,291.24,284.31,285.31,0,CNY
2013-06-13,280.76,280.76,273.05,276.26,0,CNY
2013-06-14,277.0,278.79,275.95,278.52,0,CNY
2013-06-17,279.47,279.57,276.45,277.65,0,CNY
2013-06-18,278.75,279.63,276.36,279.23,0,CNY
2013-06-19,277.49,277.49,273.3,277.19,0,CNY
2013-06-20,275.2,275.27,268.5,268.61,0,CNY
2013-06-21,263.84,269.36,262.2,267.8,0,CNY
2013-06-24,266.57,266.57,250.46,251.39,0,CNY
2013-06-25,248.14,251.08,234.28,250.69,0,CNY
2013-06-26,250.63,252.43,247.07,251.29,0,CNY
2013-06-27,252.14,254.91,249.3,249.93,0,CNY
2013-06-28,247.77,256.23,247.07,253.41,0,CNY
2013-07-01,251.85,255.47,250.18,255.47,0,CNY
2013-07-02,255.45,257.1,253.46,256.98,0,CNY
2013-07-03,255.2,255.77,251.03,255.25,0,CNY
2013-07-04,253.15,259.65,252.36,257.19,0,CNY
2013-07-05,257.78,259.98,257.04,257.24,0,CNY
2013-07-08,253.43,254.12,249.5,249.63,0,CNY
2013-07-09,249.34,250.78,248.14,250.02,0,CNY
2013-07-10,250.22,256.95,249.64,256.95,0,CNY
2013-07-11,258.01,270.16,258.01,267.7,0,CNY
2013-07-12,266.55,268.5,262.48,262.64,0,CNY
2013-07-15,264.4,268.73,262.76,266.38,0,CNY
2013-07-16,265.51,267.92,263.67,267.92,0,CNY
2013-07-17,266.97,268.92,263.92,264.2,0,CNY
2013-07-18,263.0,264.09,260.01,261.01,0,CNY
2013-07-19,261.57,262.37,254.82,255.01,0,CNY
2013-07-22,252.36,257.3,251.68,257.19,0,CNY
2013-07-23,258.19,264.61,257.58,263.66,0,CNY
2013-07-24,262.04,263.37,258.54,262.33,0,CNY
2013-07-25,263.11,264.01,259.56,260.31,0,CNY
2013-07-26,258.89,260.6,257.25,259.12,0,CNY
2013-07-29,256.71,256.71,253.26,253.97,0,CNY
2013-07-30,255.27,257.99,251.79,255.03,0,CNY
2013-07-31,257.75,259.14,254.78,255.56,0,CNY
2013-08-01,256.82,261.44,256.14,261.44,0,CNY
2013-08-02,263.42,264.14,261.29,261.72,0,CNY
2013-08-05,262.0,265.24,261.47,265.24,0,CNY
2013-08-06,264.2,267.74,263.12,266.94,0,CNY
2013-08-07,266.43,268.54,264.89,265.36,0,CNY
2013-08-08,264.86,266.97,263.74,264.94,0,CNY
2013-08-09,266.37,267.38,262.79,266.08,0,CNY
2013-08-12,267.36,273.07,266.76,273.07,0,CNY
2013-08-13,273.07,274.25,272.13,274.25,0,CNY
2013-08-14,274.67,276.59,272.21,273.17,0,CNY
2013-08-15,272.95,274.39,269.99,270.18,0,CNY
2013-08-16,268.97,280.93,267.12,267.59,0,CNY
2013-08-19,265.38,271.7,265.38,271.09,0,CNY
2013-08-20,270.44,273.3,268.33,269.32,0,CNY
2013-08-21,269.94,269.99,267.07,269.45,0,CNY
2013-08-22,268.61,271.35,268.22,269.08,0,CNY
2013-08-23,270.45,270.88,263.47,267.5,0,CNY
2013-08-26,268.41,273.52,267.63,273.45,0,CNY
2013-08-27,273.07,274.91,272.51,274.78,0,CNY
2013-08-28,272.75,275.92,271.31,273.91,0,CNY
2013-08-29,275.01,275.32,271.94,273.29,0,CNY
2013-08-30,273.23,275.79,271.96,273.26,0,CNY
2013-09-02,274.34,274.93,270.5,273.37,0,CNY
2013-09-03,273.62,277.16,273.05,277.11,0,CNY
2013-09-04,277.01,278.16,276.17,277.25,0,CNY
2013-09-05,276.89,277.51,275.86,276.6,0,CNY
2013-09-06,276.04,279.75,276.02,279.33,0,CNY
2013-09-09,281.4,288.86,280.79,288.2,0,CNY
2013-09-10,288.68,292.69,287.98,292.64,0,CNY
2013-09-11,293.91,295.6,291.56,292.83,0,CNY
2013-09-12,292.16,297.67,291.38,295.63,0,CNY
2013-09-13,294.7,296.17,292.02,293.25,0,CNY
2013-09-16,294.39,294.71,291.16,292.4,0,CNY
2013-09-17,292.56,292.63,286.12,286.22,0,CNY
2013-09-18,286.31,287.85,284.55,287.67,0,CNY
2013-09-19,286.31,287.85,284.55,287.67,0,CNY
2013-09-20,286.31,287.85,284.55,287.67,0,CNY
2013-09-23,288.93,292.04,288.27,291.98,0,CNY
2013-09-24,291.38,291.38,286.56,289.57,0,CNY
2013-09-25,289.13,291.1,287.41,288.07,0,CNY
2013-09-26,287.04,287.04,281.95,282.12,0,CNY
2013-09-27,281.79,283.98,281.56,283.28,0,CNY
2013-09-30,285.0,285.76,284.26,285.74,0,CNY
2013-10-01,285.0,285.76,284.26,285.74,0,CNY
2013-10-02,285.0,285.76,284.26,285.74,0,CNY
2013-10-03,285.0,285.76,284.26,285.74,0,CNY
2013-10-04,285.0,285.76,284.26,285.74,0,CNY
2013-10-07,285.0,285.76,284.26,285.74,0,CNY
2013-10-08,285.27,289.64,284.01,289.29,0,CNY
2013-10-09,287.89,291.67,287.4,291.64,0,CNY
2013-10-10,292.02,292.02,288.08,288.66,0,CNY
2013-10-11,290.55,294.27,290.21,294.19,0,CNY
2013-10-14,294.83,296.12,293.68,295.17,0,CNY
2013-10-15,295.59,296.01,292.96,295.13,0,CNY
2013-10-16,293.91,293.91,287.39,288.82,0,CNY
2013-10-17,290.4,291.18,287.01,287.68,0,CNY
2013-10-18,287.91,289.87,287.14,288.91,0,CNY
2013-10-21,289.77,294.64,288.65,294.56,0,CNY
2013-10-22,294.41,294.41,290.81,291.63,0,CNY
2013-10-23,292.08,294.24,286.48,287.37,0,CNY
2013-10-24,286.44,287.87,284.47,285.1,0,CNY
2013-10-25,285.33,286.2,279.24,280.96,0,CNY
2013-10-28,281.45,281.79,279.03,280.73,0,CNY
2013-10-29,281.07,284.52,273.73,279.05,0,CNY
2013-10-30,278.35,283.08,278.03,283.02,0,CNY
2013-10-31,281.69,281.69,278.83,279.12,0,CNY
2013-11-01,278.74,281.1,277.52,279.98,0,CNY
2013-11-04,281.57,281.65,279.44,280.02,0,CNY
2013-11-05,278.32,281.11,276.28,281.09,0,CNY
2013-11-06,279.53,281.74,278.03,278.04,0,CNY
2013-11-07,277.34,278.16,274.93,275.99,0,CNY
2013-11-08,274.58,275.86,271.79,272.0,0,CNY
2013-11-11,271.67,273.98,270.41,272.96,0,CNY
2013-11-12,273.43,275.8,272.88,275.73,0,CNY
2013-11-13,274.34,274.34,269.77,269.82,0,CNY
2013-11-14,269.94,272.2,268.41,272.07,0,CNY
2013-11-15,272.36,280.46,272.36,277.78,0,CNY
2013-11-18,279.91,286.98,279.12,286.96,0,CNY
2013-11-19,286.73,286.98,284.74,285.72,0,CNY
2013-11-20,287.16,287.74,284.98,287.73,0,CNY
2013-11-21,286.06,286.87,283.55,286.36,0,CNY
2013-11-22,286.92,287.11,284.25,284.82,0,CNY
2013-11-25,283.46,287.28,283.02,284.01,0,CNY
2013-11-26,283.95,285.12,283.16,284.16,0,CNY
2013-11-27,283.93,287.9,283.63,287.29,0,CNY
2013-11-28,287.92,292.05,287.58,289.8,0,CNY
2013-11-29,290.23,290.82,289.16,290.27,0,CNY
2013-12-02,287.31,291.97,282.81,285.89,0,CNY
2013-12-03,284.58,289.62,284.47,289.16,0,CNY
2013-12-04,288.67,294.95,288.4,293.53,0,CNY
2013-12-05,293.48,294.22,291.94,293.03,0,CNY
2013-12-06,292.26,293.26,290.32,291.05,0,CNY
2013-12-09,292.22,292.84,290.48,291.35,0,CNY
2013-12-10,292.03,293.41,290.85,291.84,0,CNY
2013-12-11,290.46,290.46,285.74,287.33,0,CNY
2013-12-12,286.7,288.88,286.51,287.23,0,CNY
2013-12-13,285.01,287.77,284.76,286.87,0,CNY
2013-12-16,287.26,287.56,281.98,282.04,0,CNY
2013-12-17,282.42,282.77,280.12,280.86,0,CNY
2013-12-18,281.01,282.24,280.09,280.76,0,CNY
2013-12-19,281.98,282.31,277.45,277.56,0,CNY
2013-12-20,277.84,278.36,271.67,271.87,0,CNY
2013-12-23,272.63,273.55,269.32,272.18,0,CNY
2013-12-24,272.83,275.39,270.66,272.7,0,CNY
2013-12-25,273.04,274.67,271.91,274.67,0,CNY
2013-12-26,274.13,274.2,269.8,269.95,0,CNY
2013-12-27,270.17,275.29,269.77,274.21,0,CNY
2013-12-30,275.74,275.81,273.83,274.27,0,CNY
2013-12-31,273.07,277.57,272.87,277.29,0,CNY
2014-01-01,273.07,277.57,272.87,277.29,0,CNY
2014-01-02,276.33,276.78,275.13,276.49,0,CNY
2014-01-03,275.39,275.49,271.68,272.62,0,CNY
