Date,Open,High,Low,Close,Volume,Currency
2010-03-22,5650.1,5650.1,5583.5,5644.5,0,GBP
2010-03-23,5644.5,5695.9,5644.5,5673.6,0,GBP
2010-03-24,5673.6,5698.9,5636.0,5677.9,0,GBP
2010-03-25,5677.9,5737.1,5673.1,5727.6,0,GBP
2010-03-26,5727.6,5727.6,5695.5,5703.0,0,GBP
2010-03-29,5703.0,5733.1,5684.6,5710.7,0,GBP
2010-03-30,5710.7,5742.8,5662.8,5672.3,0,GBP
2010-03-31,5672.3,5698.5,5646.3,5679.6,0,GBP
2010-04-01,5679.6,5744.9,5679.5,5744.9,0,GBP
2010-04-06,5744.9,5790.4,5744.6,5780.4,0,GBP
2010-04-07,5780.4,5782.3,5753.4,5762.1,0,GBP
2010-04-08,5762.1,5762.1,5684.5,5712.7,0,GBP
2010-04-09,5712.7,5773.6,5712.7,5771.0,0,GBP
2010-04-12,5771.0,5803.7,5755.8,5777.6,0,GBP
2010-04-13,5777.6,5778.9,5741.9,5761.7,0,GBP
2010-04-14,5761.7,5812.8,5761.7,5796.3,0,GBP
2010-04-15,5796.3,5832.3,5778.4,5825.0,0,GBP
2010-04-16,5825.0,5833.7,5726.4,5744.0,0,GBP
2010-04-19,5744.0,5748.3,5697.2,5727.9,0,GBP
2010-04-20,5727.9,5796.6,5727.9,5783.7,0,GBP
2010-04-21,5783.7,5797.0,5721.3,5723.4,0,GBP
2010-04-22,5723.4,5761.4,5652.4,5665.3,0,GBP
2010-04-23,5665.3,5740.9,5665.3,5723.6,0,GBP
2010-04-26,5723.6,5800.7,5723.6,5753.9,0,GBP
2010-04-27,5753.9,5758.6,5603.5,5603.5,0,GBP
2010-04-28,5603.5,5640.0,5533.6,5586.6,0,GBP
2010-04-29,5586.6,5638.8,5579.7,5617.8,0,GBP
2010-04-30,5617.8,5643.9,5540.6,5553.3,0,GBP
2010-05-04,5553.3,5566.0,5398.9,5411.1,0,GBP
2010-05-05,5411.1,5428.8,5304.6,5341.9,0,GBP
2010-05-06,5341.9,5371.5,5251.3,5261.0,0,GBP
2010-05-07,5261.0,5264.5,5045.3,5123.0,0,GBP
2010-05-10,5123.0,5399.8,5123.0,5387.4,0,GBP
2010-05-11,5387.4,5387.4,5257.1,5334.2,0,GBP
2010-05-12,5334.2,5401.0,5284.6,5383.5,0,GBP
2010-05-13,5383.5,5436.0,5381.5,5433.7,0,GBP
2010-05-14,5433.7,5433.7,5245.4,5262.9,0,GBP
2010-05-17,5262.9,5327.5,5231.6,5262.5,0,GBP
2010-05-18,5262.5,5341.4,5262.5,5307.3,0,GBP
2010-05-19,5307.3,5307.3,5158.1,5158.1,0,GBP
2010-05-20,5158.1,5230.2,5000.8,5073.1,0,GBP
2010-05-21,5073.1,5084.0,4957.1,5062.9,0,GBP
2010-05-24,5062.9,5109.4,5021.6,5069.6,0,GBP
2010-05-25,5069.6,5069.6,4898.5,4940.7,0,GBP
2010-05-26,4940.7,5097.9,4940.5,5038.1,0,GBP
2010-05-27,5038.1,5195.4,5038.1,5195.2,0,GBP
2010-05-28,5195.2,5240.3,5186.0,5188.4,0,GBP
2010-06-01,5188.4,5192.1,5063.2,5163.3,0,GBP
2010-06-02,5163.3,5163.3,5072.5,5151.3,0,GBP
2010-06-03,5151.3,5262.5,5151.3,5211.2,0,GBP
2010-06-04,5211.2,5261.7,5102.0,5126.0,0,GBP
2010-06-07,5126.0,5126.0,5040.3,5069.1,0,GBP
2010-06-08,5069.1,5084.1,4984.7,5028.1,0,GBP
2010-06-09,5028.1,5085.9,4998.1,5085.9,0,GBP
2010-06-10,5085.9,5149.7,5030.9,5132.5,0,GBP
2010-06-11,5132.5,5184.4,5116.7,5163.7,0,GBP
2010-06-14,5163.7,5215.2,5163.7,5202.1,0,GBP
2010-06-15,5202.1,5242.1,5149.1,5217.8,0,GBP
2010-06-16,5217.8,5257.3,5209.4,5237.9,0,GBP
2010-06-17,5237.9,5293.8,5233.2,5253.9,0,GBP
2010-06-18,5253.9,5289.1,5239.4,5250.8,0,GBP
2010-06-21,5250.8,5331.5,5250.8,5299.1,0,GBP
2010-06-22,5299.1,5299.1,5210.0,5247.0,0,GBP
2010-06-23,5247.0,5247.9,5165.8,5178.5,0,GBP
2010-06-24,5178.5,5211.8,5091.0,5100.2,0,GBP
2010-06-25,5100.2,5130.5,5031.7,5046.5,0,GBP
2010-06-28,5046.5,5085.6,5024.7,5071.7,0,GBP
2010-06-29,5071.7,5071.7,4899.0,4914.2,0,GBP
2010-06-30,4914.2,4961.9,4898.5,4916.9,0,GBP
2010-07-01,4916.9,4916.9,4790.0,4805.8,0,GBP
2010-07-02,4805.8,4880.9,4805.8,4838.1,0,GBP
2010-07-05,4838.1,4863.4,4821.1,4823.5,0,GBP
2010-07-06,4823.5,4967.6,4823.5,4965.0,0,GBP
2010-07-07,4965.0,5014.8,4892.0,5014.8,0,GBP
2010-07-08,5014.8,5123.5,5014.8,5105.5,0,GBP
2010-07-09,5105.5,5150.6,5098.8,5132.9,0,GBP
2010-07-12,5132.9,5193.2,5128.6,5167.0,0,GBP
2010-07-13,5167.0,5272.3,5167.0,5271.0,0,GBP
2010-07-14,5271.0,5287.3,5205.8,5253.5,0,GBP
2010-07-15,5253.5,5268.4,5187.5,5211.3,0,GBP
2010-07-16,5211.3,5273.6,5153.3,5158.9,0,GBP
2010-07-19,5129.8,5198.0,5113.0,5148.28,0,GBP
2010-07-20,5172.9,5175.3,5089.0,5139.46,0,GBP
2010-07-21,5186.9,5245.3,5183.0,5214.64,0,GBP
2010-07-22,5185.1,5320.8,5177.5,5313.81,0,GBP
2010-07-23,5321.3,5328.3,5273.0,5312.62,0,GBP
2010-07-26,5352.8,5354.3,5301.3,5351.12,0,GBP
2010-07-27,5361.0,5412.8,5351.3,5365.67,0,GBP
2010-07-29,5328.4,5375.5,5302.0,5313.95,0,GBP
2010-07-30,5294.5,5322.5,5244.3,5258.02,0,GBP
2010-08-02,5305.0,5402.8,5300.0,5397.11,0,GBP
2010-08-03,5390.2,5399.3,5353.0,5396.48,0,GBP
2010-08-04,5380.1,5406.8,5317.3,5386.16,0,GBP
2010-08-05,5392.9,5418.3,5356.8,5365.78,0,GBP
2010-08-06,5391.1,5409.5,5306.8,5332.39,0,GBP
2010-08-09,5392.3,5420.8,5387.8,5410.52,0,GBP
2010-08-10,5394.9,5407.8,5346.8,5376.41,0,GBP
2010-08-11,5336.3,5340.5,5241.8,5245.21,0,GBP
2010-08-12,5220.8,5274.0,5208.8,5266.06,0,GBP
2010-08-13,5299.1,5308.8,5225.3,5275.44,0,GBP
2010-08-16,5277.3,5304.8,5226.5,5276.1,0,GBP
2010-08-17,5288.5,5355.3,5273.3,5350.55,0,GBP
2010-08-18,5326.4,5331.3,5294.8,5302.87,0,GBP
2010-08-19,5321.7,5337.3,5202.8,5211.29,0,GBP
2010-08-20,5208.8,5232.5,5158.8,5195.28,0,GBP
2010-08-23,5214.0,5268.8,5184.5,5234.84,0,GBP
2010-08-24,5202.6,5203.0,5106.5,5155.95,0,GBP
2010-08-25,5148.8,5168.5,5068.8,5117.24,0,GBP
2010-08-26,5146.9,5168.8,5125.3,5155.84,0,GBP
2010-08-27,5138.3,5219.8,5119.8,5201.56,0,GBP
2010-08-31,5143.3,5226.8,5128.3,5225.22,0,GBP
2010-09-01,5248.5,5371.8,5224.8,5366.41,0,GBP
2010-09-02,5348.0,5384.5,5342.3,5371.04,0,GBP
2010-09-03,5383.3,5455.8,5372.8,5428.15,0,GBP
2010-09-06,5459.8,5461.8,5432.0,5439.19,0,GBP
2010-09-07,5428.5,5430.0,5380.0,5407.82,0,GBP
2010-09-08,5381.8,5445.8,5360.0,5429.74,0,GBP
2010-09-09,5415.0,5504.8,5409.8,5494.16,0,GBP
2010-09-10,5472.5,5511.8,5472.5,5501.64,0,GBP
2010-09-13,5554.9,5573.0,5529.8,5565.53,0,GBP
2010-09-14,5568.5,5584.0,5541.3,5567.41,0,GBP
2010-09-15,5572.5,5579.3,5534.8,5557.07,0,GBP
2010-09-16,5552.3,5565.5,5533.0,5540.14,0,GBP
2010-09-17,5588.8,5618.3,5497.3,5508.45,0,GBP
2010-09-20,5539.5,5607.5,5535.3,5602.54,0,GBP
2010-09-21,5593.3,5637.5,5572.8,5576.19,0,GBP
2010-09-22,5597.0,5599.5,5515.5,5562.02,0,GBP
2010-09-23,5584.5,5591.0,5470.0,5547.08,0,GBP
2010-09-24,5526.3,5612.8,5517.0,5598.48,0,GBP
2010-09-27,5603.8,5615.5,5569.0,5573.42,0,GBP
2010-09-28,5563.3,5583.8,5504.8,5578.44,0,GBP
2010-09-29,5606.0,5625.8,5542.5,5569.27,0,GBP
2010-09-30,5551.8,5653.5,5537.5,5548.62,0,GBP
2010-10-01,5582.5,5617.5,5559.8,5592.9,0,GBP
2010-10-04,5607.3,5607.3,5549.0,5555.97,0,GBP
2010-10-05,5564.5,5647.3,5548.5,5635.76,0,GBP
2010-10-06,5659.2,5694.3,5653.5,5681.39,0,GBP
2010-10-07,5687.6,5708.5,5648.8,5662.13,0,GBP
2010-10-08,5653.5,5663.8,5604.5,5657.61,0,GBP
2010-10-11,5670.7,5685.8,5654.8,5672.4,0,GBP
2010-10-12,5643.5,5677.8,5595.8,5661.59,0,GBP
2010-10-13,5691.6,5761.3,5686.3,5747.35,0,GBP
2010-10-14,5767.8,5770.8,5711.3,5727.21,0,GBP
2010-10-15,5750.7,5750.7,5663.5,5703.37,0,GBP
2010-10-18,5681.6,5750.5,5668.5,5742.52,0,GBP
2010-10-19,5738.5,5762.5,5687.5,5703.89,0,GBP
2010-10-20,5684.4,5730.5,5678.5,5728.93,0,GBP
2010-10-21,5709.5,5787.5,5696.8,5757.86,0,GBP
2010-10-22,5747.8,5756.0,5721.8,5741.37,0,GBP
2010-10-25,5780.1,5791.8,5750.3,5751.98,0,GBP
2010-10-26,5735.8,5746.3,5674.8,5707.3,0,GBP
2010-10-27,5674.8,5690.5,5629.3,5646.02,0,GBP
2010-10-28,5684.8,5713.0,5653.3,5677.89,0,GBP
2010-10-29,5662.3,5700.0,5645.8,5675.16,0,GBP
2010-11-01,5711.7,5734.8,5665.8,5694.62,0,GBP
2010-11-02,5688.9,5773.3,5685.0,5757.43,0,GBP
2010-11-03,5762.2,5773.3,5728.3,5748.97,0,GBP
2010-11-04,5798.2,5876.3,5797.4,5862.79,0,GBP
2010-11-05,5881.0,5896.5,5831.8,5875.35,0,GBP
2010-11-08,5871.5,5882.3,5839.5,5849.96,0,GBP
2010-11-09,5841.2,5901.8,5841.2,5875.19,0,GBP
2010-11-10,5858.4,5868.0,5794.0,5816.94,0,GBP
2010-11-11,5838.8,5841.8,5791.3,5815.23,0,GBP
2010-11-12,5742.5,5831.3,5711.0,5796.87,0,GBP
2010-11-15,5780.1,5834.5,5753.5,5820.41,0,GBP
2010-11-16,5785.7,5789.3,5680.8,5690.8,0,GBP
2010-11-17,5654.8,5705.3,5653.8,5692.56,0,GBP
2010-11-18,5730.8,5785.0,5718.3,5768.71,0,GBP
2010-11-19,5777.7,5777.7,5682.8,5732.83,0,GBP
2010-11-22,5782.5,5784.5,5666.8,5680.83,0,GBP
2010-11-23,5640.6,5663.3,5581.28,5581.28,0,GBP
2010-11-24,5608.3,5665.8,5573.3,5657.1,0,GBP
2010-11-25,5666.3,5709.5,5653.5,5698.93,0,GBP
2010-11-26,5663.2,5696.5,5597.5,5668.7,0,GBP
2010-11-29,5698.1,5724.5,5562.0,5569.73,0,GBP
2010-11-30,5572.7,5598.0,5518.3,5528.27,0,GBP
2010-12-01,5569.8,5657.8,5559.5,5642.5,0,GBP
2010-12-02,5678.8,5774.3,5649.8,5767.56,0,GBP
