Date,Open,High,Low,Close,Volume,Currency
2014-11-04,177.44,178.46,176.04,176.98,28892,VND
2014-11-05,176.98,177.78,174.24,177.22,43147,VND
2014-11-06,177.24,179.94,177.16,179.64,37247,VND
2014-11-07,179.64,180.46,178.78,180.13,23962,VND
2014-11-10,177.55,182.22,177.55,180.62,44587,VND
2014-11-11,180.62,182.79,180.57,181.83,60070,VND
2014-11-12,182.48,185.93,181.82,185.92,54561,VND
2014-11-13,185.87,187.26,184.76,186.04,47122,VND
2014-11-14,186.09,186.09,182.34,184.47,52193,VND
2014-11-17,184.53,185.85,184.53,185.11,47846,VND
2014-11-18,185.06,185.33,182.85,182.85,43714,VND
2014-11-19,182.04,182.72,179.69,181.52,51339,VND
2014-11-20,179.33,183.67,178.9,183.06,40480,VND
2014-11-21,182.24,183.62,180.11,180.28,47906,VND
2014-11-24,180.32,180.34,176.92,176.92,32542,VND
2014-11-25,176.94,180.33,176.67,180.09,26125,VND
2014-11-26,179.55,180.89,175.25,175.26,50760,VND
2014-11-27,174.71,176.99,171.87,176.99,33698,VND
2014-11-28,176.99,177.58,174.23,175.2,49310,VND
2014-12-01,173.4,177.73,173.27,174.46,30970,VND
2014-12-02,174.46,176.65,174.46,175.46,31109,VND
2014-12-03,175.57,178.04,175.42,177.28,30942,VND
2014-12-04,175.09,179.79,175.07,178.43,35843,VND
2014-12-05,178.43,179.42,176.69,178.2,30368,VND
2014-12-08,178.14,178.47,174.32,174.32,44454,VND
2014-12-09,172.39,174.32,164.6,165.21,58275,VND
2014-12-10,163.47,169.66,162.17,169.29,32518,VND
2014-12-11,167.48,169.91,165.98,166.9,23809,VND
2014-12-12,166.61,168.29,165.68,167.99,23681,VND
2014-12-15,168.1,169.32,166.4,166.4,28396,VND
2014-12-16,165.76,166.4,161.12,161.7,37579,VND
2014-12-17,160.41,162.99,152.23,157.09,47017,VND
2014-12-18,156.74,162.44,156.53,161.65,32989,VND
2014-12-19,160.94,163.4,157.5,157.53,45634,VND
2014-12-22,156.58,161.9,156.58,161.09,26323,VND
2014-12-23,161.09,162.32,159.4,160.53,30029,VND
2014-12-24,159.93,162.22,159.45,161.48,26877,VND
2014-12-25,160.94,160.95,157.92,158.55,19721,VND
2014-12-26,158.0,158.77,154.98,155.72,26865,VND
2014-12-29,151.07,157.33,150.94,151.39,29940,VND
2014-12-30,151.39,155.75,148.37,155.75,32242,VND
2014-12-31,155.75,162.2,155.75,160.83,40408,VND
2015-01-05,160.83,161.79,159.57,159.71,24093,VND
2015-01-06,159.66,163.22,156.99,163.14,35322,VND
2015-01-07,163.14,165.93,162.14,163.57,32594,VND
2015-01-08,163.51,164.83,162.18,163.07,26170,VND
2015-01-09,162.65,167.69,162.36,166.71,40959,VND
2015-01-12,166.47,167.64,164.08,164.85,29769,VND
2015-01-13,163.12,167.03,161.62,165.76,27596,VND
2015-01-14,165.27,166.53,163.21,165.01,35070,VND
2015-01-15,164.07,168.62,162.28,167.96,49966,VND
2015-01-16,167.52,169.12,166.8,167.07,33683,VND
2015-01-19,165.28,169.1,165.28,166.38,25773,VND
2015-01-20,166.97,167.61,164.65,165.6,23070,VND
2015-01-21,165.6,166.17,163.7,163.72,21893,VND
2015-01-22,163.13,166.79,163.06,166.0,25743,VND
2015-01-23,165.9,169.5,165.9,169.01,35345,VND
2015-01-26,169.01,170.5,168.4,168.61,25548,VND
2015-01-27,168.65,169.76,164.27,165.94,54392,VND
2015-01-28,165.94,168.92,164.31,168.28,44929,VND
2015-01-29,168.28,169.05,166.72,168.43,31985,VND
2015-01-30,168.19,168.48,163.85,164.48,30365,VND
2015-02-02,164.48,165.42,162.23,162.84,22848,VND
2015-02-03,162.84,163.97,158.72,158.72,30471,VND
2015-02-04,158.28,160.33,157.59,160.23,22222,VND
2015-02-05,159.64,161.91,158.69,160.28,19669,VND
2015-02-06,160.23,162.86,158.77,162.46,18064,VND
2015-02-09,162.49,163.26,160.94,161.19,15605,VND
2015-02-10,161.14,162.92,161.06,161.56,20194,VND
2015-02-11,159.09,163.75,159.06,163.75,19368,VND
2015-02-12,163.75,165.23,163.75,164.29,23517,VND
2015-02-13,164.29,166.01,164.29,165.18,16251,VND
