Date,Open,High,Low,Close,Volume,Currency
2010-03-22,2742.67,2742.67,2698.26,2702.4,3425103872,IDR
2010-03-23,2702.6,2746.14,2702.6,2720.86,2746669568,IDR
2010-03-24,2721.16,2774.85,2721.16,2774.85,3323996928,IDR
2010-03-25,2773.3,2814.86,2760.2,2799.15,4202231552,IDR
2010-03-26,2799.25,2813.08,2792.36,2813.08,4013816064,IDR
2010-03-29,2813.49,2813.8,2780.43,2794.77,4615285248,IDR
2010-03-30,2795.18,2818.94,2787.51,2798.27,4137396992,IDR
2010-03-31,2798.68,2809.47,2758.26,2777.3,4173625088,IDR
2010-04-01,2777.7,2834.24,2777.7,2830.0,4205110528,IDR
2010-04-05,2831.03,2890.18,2831.03,2887.25,4419231744,IDR
2010-04-06,2888.81,2911.46,2871.75,2880.97,8445811712,IDR
2010-04-07,2881.37,2916.11,2881.37,2898.58,6577802752,IDR
2010-04-08,2898.18,2898.18,2837.4,2850.83,5132381696,IDR
2010-04-09,2850.63,2870.97,2833.24,2845.01,4239329024,IDR
2010-04-12,2845.61,2882.71,2845.61,2881.33,5048496640,IDR
2010-04-13,2881.03,2884.95,2856.25,2884.7,4987644928,IDR
2010-04-14,2884.9,2897.33,2875.25,2885.01,5044259840,IDR
2010-04-15,2885.12,2913.72,2885.12,2900.53,5718624256,IDR
2010-04-16,2900.83,2903.28,2860.93,2878.67,3631203584,IDR
2010-04-19,2877.97,2877.97,2811.79,2840.43,3762311936,IDR
2010-04-20,2840.63,2892.62,2840.63,2891.27,4073594112,IDR
2010-04-21,2891.47,2916.55,2891.47,2912.83,6544607744,IDR
2010-04-22,2912.73,2927.39,2883.01,2926.53,5007345152,IDR
2010-04-23,2926.13,2926.39,2907.03,2924.73,3853774592,IDR
2010-04-26,2924.93,2954.83,2924.93,2944.71,4075001088,IDR
2010-04-27,2943.68,2944.44,2930.42,2939.3,4200866560,IDR
2010-04-28,2939.0,2939.0,2875.67,2903.32,5162426368,IDR
2010-04-29,2903.52,2927.96,2903.52,2926.86,6141513728,IDR
2010-04-30,2927.26,2972.92,2927.26,2971.25,5235454976,IDR
2010-05-03,2971.75,2982.36,2950.43,2960.89,4086930944,IDR
2010-05-04,2961.29,2996.42,2946.42,2959.01,3911546112,IDR
2010-05-05,2958.52,2958.52,2834.96,2846.24,6428434944,IDR
2010-05-06,2846.04,2846.04,2748.68,2810.62,4967408640,IDR
2010-05-07,2808.74,2808.74,2705.2,2739.33,3571070464,IDR
2010-05-10,2739.93,2860.05,2739.93,2850.43,5725906432,IDR
2010-05-11,2850.82,2865.48,2808.57,2812.89,5091554816,IDR
2010-05-12,2812.99,2849.08,2812.99,2847.62,2765117440,IDR
2010-05-14,2847.13,2869.49,2843.85,2858.39,2796139008,IDR
2010-05-17,2857.99,2857.99,2780.39,2819.47,2602268416,IDR
2010-05-18,2820.48,2837.57,2818.84,2834.19,3195327488,IDR
2010-05-19,2833.69,2833.69,2721.72,2729.48,4788091904,IDR
2010-05-20,2730.29,2763.88,2660.12,2694.25,4922864128,IDR
2010-05-21,2692.66,2692.66,2584.97,2623.22,4166845952,IDR
2010-05-24,2623.72,2672.86,2600.85,2609.61,5422419968,IDR
2010-05-25,2609.02,2609.02,2502.05,2514.12,7161354752,IDR
2010-05-26,2514.91,2701.99,2514.91,2696.78,9659988992,IDR
2010-05-27,2696.28,2732.06,2618.28,2713.92,10049577984,IDR
2010-05-31,2714.32,2799.45,2714.32,2796.96,5658693632,IDR
2010-06-01,2796.66,2796.66,2724.11,2724.61,5500000256,IDR
2010-06-02,2725.01,2771.28,2721.19,2733.68,5924263936,IDR
2010-06-03,2734.17,2811.83,2734.17,2810.98,6336845312,IDR
2010-06-04,2810.88,2823.86,2791.45,2823.25,4970831872,IDR
2010-06-07,2820.88,2820.88,2698.28,2750.23,3966829568,IDR
2010-06-08,2750.35,2781.35,2750.35,2779.98,4308006912,IDR
2010-06-09,2779.78,2794.18,2765.35,2785.79,4099485440,IDR
2010-06-10,2786.19,2792.52,2758.16,2770.79,3459424000,IDR
2010-06-11,2771.48,2817.41,2771.48,2801.9,3075110912,IDR
2010-06-14,2802.1,2826.96,2802.1,2826.84,2499525376,IDR
2010-06-15,2827.03,2850.03,2824.38,2830.17,3722986496,IDR
2010-06-16,2830.67,2877.85,2830.67,2858.66,3777608448,IDR
2010-06-17,2856.37,2897.61,2856.37,2891.1,4958281216,IDR
2010-06-18,2891.3,2932.06,2891.3,2929.59,6324140032,IDR
2010-06-21,2929.99,2981.28,2926.08,2941.9,5483616256,IDR
2010-06-22,2940.9,2956.81,2921.3,2934.59,3448061440,IDR
2010-06-23,2933.9,2933.9,2899.27,2924.79,4591032832,IDR
2010-06-24,2924.89,2946.54,2908.35,2914.09,4056602112,IDR
2010-06-25,2913.8,2949.42,2904.39,2947.02,2518446592,IDR
2010-06-28,2947.22,2975.9,2945.22,2955.73,2969935104,IDR
2010-06-29,2955.83,2960.81,2872.42,2893.37,2743772928,IDR
2010-06-30,2892.58,2918.06,2844.45,2913.68,2485968896,IDR
2010-07-01,2912.88,2912.88,2860.91,2874.25,3861765376,IDR
2010-07-02,2874.84,2891.18,2861.22,2871.55,2451041536,IDR
2010-07-05,2871.95,2885.36,2869.07,2877.3,2256851968,IDR
2010-07-06,2877.4,2912.08,2864.75,2910.65,2458019584,IDR
2010-07-07,2910.53,2913.84,2890.29,2902.04,2054048000,IDR
2010-07-08,2902.63,2936.26,2902.63,2915.91,4198912000,IDR
2010-07-09,2916.2,2943.96,2909.67,2943.9,4285230592,IDR
2010-07-12,2942.13,2972.56,2940.6,2958.79,3463461376,IDR
2010-07-13,2957.79,2978.51,2946.41,2961.51,2767187456,IDR
2010-07-14,2961.71,2994.59,2961.71,2981.06,3945818624,IDR
2010-07-15,2980.06,2987.04,2956.89,2980.6,4525633536,IDR
2010-07-16,2980.48,2992.45,2972.27,2992.45,4343759872,IDR
2010-07-19,2992.16,2992.16,2948.03,2975.57,2914782976,IDR
2010-07-20,2975.87,2995.44,2970.8,2995.44,4282781440,IDR
2010-07-21,2995.74,3014.48,2994.21,3013.4,5062480384,IDR
2010-07-22,3013.7,3019.01,2997.3,3009.92,4218008064,IDR
2010-07-23,3010.32,3051.36,3010.32,3042.02,5115300352,IDR
2010-07-26,3042.12,3062.95,3014.55,3023.7,4181508608,IDR
2010-07-27,3023.99,3061.63,3023.99,3041.68,3811816960,IDR
2010-07-28,3041.58,3064.79,3041.58,3057.47,3992782080,IDR
2010-07-29,3057.97,3097.19,3056.67,3096.82,4565921280,IDR
2010-07-30,3096.72,3104.08,3054.1,3069.28,3356064000,IDR
2010-08-02,3070.28,3083.86,3048.59,3058.98,2961295872,IDR
2010-08-03,3059.37,3084.17,2965.56,2973.66,4315830784,IDR
2010-08-04,2973.85,3001.12,2959.75,2983.25,3031376896,IDR
2010-08-05,2983.84,3046.87,2983.84,3044.94,3589204992,IDR
2010-08-06,3045.43,3062.68,3031.43,3060.59,2784466432,IDR
2010-08-09,3057.55,3082.78,3056.17,3082.6,2448762880,IDR
2010-08-10,3082.99,3083.29,3047.22,3057.16,2391926528,IDR
2010-08-11,3054.64,3061.88,3022.5,3035.32,2877985536,IDR
2010-08-12,3034.24,3034.24,2993.77,3025.64,2585167616,IDR
2010-08-13,3025.74,3053.57,3025.74,3053.01,2248365056,IDR
2010-08-16,3052.91,3059.04,3032.43,3052.6,2600550912,IDR
2010-08-18,3053.36,3072.83,3045.22,3072.09,3513428480,IDR
2010-08-19,3072.48,3118.37,3072.48,3105.35,5727421440,IDR
2010-08-20,3103.37,3118.65,3084.99,3117.72,4463237632,IDR
2010-08-23,3117.43,3129.66,3107.76,3128.73,5515090944,IDR
2010-08-24,3128.44,3145.11,3099.91,3114.94,4902162944,IDR
2010-08-25,3114.74,3140.16,3102.51,3138.91,6586856960,IDR
2010-08-26,3138.52,3150.16,3128.87,3145.14,6942336512,IDR
2010-08-27,3145.04,3145.04,3089.69,3104.73,4818587648,IDR
2010-08-30,3105.22,3138.49,3089.64,3099.57,3823649536,IDR
2010-08-31,3098.77,3099.75,3058.05,3081.88,3599096576,IDR
2010-09-01,3081.49,3135.54,3081.49,3135.32,3826286080,IDR
2010-09-02,3135.71,3159.72,3105.81,3122.15,4005498112,IDR
2010-09-03,3122.25,3164.36,3122.25,3164.28,3623021056,IDR
2010-09-06,3164.47,3217.37,3164.47,3217.15,2843547392,IDR
2010-09-07,3217.54,3239.45,3214.2,3230.89,3683510528,IDR
2010-09-15,3232.08,3360.05,3232.08,3357.03,4683331072,IDR
2010-09-16,3357.13,3358.12,3317.8,3341.63,5094341120,IDR
2010-09-17,3341.44,3390.56,3341.44,3384.65,9272156160,IDR
2010-09-20,3384.56,3392.06,3344.9,3370.98,10281517056,IDR
2010-09-21,3371.47,3405.85,3342.2,3365.04,10098348032,IDR
2010-09-22,3365.13,3380.2,3332.27,3343.34,11224635392,IDR
2010-09-23,3343.83,3351.39,3313.31,3337.2,7510500352,IDR
2010-09-24,3338.71,3400.56,3331.86,3397.63,4981127168,IDR
2010-09-27,3397.82,3472.03,3397.82,3468.04,6052123648,IDR
2010-09-28,3468.23,3524.32,3455.5,3472.71,6181092352,IDR
2010-09-29,3473.29,3513.36,3473.29,3495.46,6119049728,IDR
2010-09-30,3495.76,3514.77,3487.71,3501.3,5577425408,IDR
2010-10-01,3501.2,3550.03,3501.2,3547.11,5024775680,IDR
2010-10-04,3547.31,3594.37,3547.31,3569.5,5636847104,IDR
2010-10-05,3569.59,3592.09,3553.09,3591.7,6835522048,IDR
2010-10-06,3592.08,3630.39,3582.25,3603.4,8123225600,IDR
2010-10-07,3603.5,3605.53,3540.61,3586.19,6481205248,IDR
2010-10-08,3585.89,3585.89,3532.01,3546.95,5424800256,IDR
