Date,Open,High,Low,Close,Volume,Currency
2010-03-22,1678.51,1680.94,1664.88,1672.67,347596000,KRW
2010-03-23,1685.07,1689.46,1677.91,1681.82,414287008,KRW
2010-03-24,1693.56,1695.03,1678.07,1681.01,371518016,KRW
2010-03-25,1680.42,1688.39,1677.05,1688.39,389686016,KRW
2010-03-26,1683.96,1699.94,1680.91,1697.72,397620000,KRW
2010-03-29,1681.99,1699.81,1681.44,1691.99,339607008,KRW
2010-03-30,1705.51,1705.57,1693.83,1700.19,321044000,KRW
2010-03-31,1702.58,1704.81,1689.92,1692.85,328320992,KRW
2010-04-01,1695.3,1719.74,1695.3,1719.17,296992000,KRW
2010-04-02,1723.29,1725.39,1715.56,1723.49,355088000,KRW
2010-04-05,1728.27,1731.0,1711.16,1724.99,426894016,KRW
2010-04-06,1732.98,1732.98,1719.14,1726.09,420896992,KRW
2010-04-07,1725.31,1729.23,1722.19,1726.6,399748000,KRW
2010-04-08,1722.13,1733.78,1719.51,1733.78,362550016,KRW
2010-04-09,1735.0,1737.45,1710.11,1724.47,452531008,KRW
2010-04-12,1730.37,1733.3,1707.92,1710.3,416640000,KRW
2010-04-13,1714.96,1716.09,1699.58,1710.59,369616000,KRW
2010-04-14,1720.42,1735.33,1720.42,1735.33,431591008,KRW
2010-04-15,1745.52,1747.38,1729.59,1743.91,464868000,KRW
2010-04-16,1742.24,1743.65,1723.28,1734.49,381108992,KRW
2010-04-19,1708.39,1720.03,1700.69,1705.3,367560000,KRW
2010-04-20,1715.83,1721.36,1710.18,1718.03,522272992,KRW
2010-04-21,1730.37,1748.19,1729.77,1747.58,535040000,KRW
2010-04-22,1737.29,1740.04,1727.61,1739.52,528080992,KRW
2010-04-23,1747.92,1748.46,1732.88,1737.03,463207008,KRW
2010-04-26,1745.98,1757.76,1745.8,1752.2,420566016,KRW
2010-04-27,1748.84,1756.15,1742.27,1749.55,432377984,KRW
2010-04-28,1716.17,1733.91,1714.53,1733.91,399809984,KRW
2010-04-29,1738.77,1738.77,1720.67,1728.42,446710016,KRW
2010-04-30,1742.32,1749.69,1739.81,1741.56,412070016,KRW
2010-05-03,1735.68,1740.15,1709.81,1721.21,414096000,KRW
2010-05-04,1730.57,1734.47,1714.17,1718.75,380985984,KRW
2010-05-06,1679.79,1689.16,1674.11,1684.71,448574016,KRW
2010-05-07,1632.45,1658.3,1625.83,1647.5,456384992,KRW
2010-05-10,1661.61,1679.58,1654.41,1677.63,383504000,KRW
2010-05-11,1692.4,1692.4,1661.71,1670.24,457059008,KRW
2010-05-12,1678.79,1680.16,1657.67,1663.03,453192992,KRW
2010-05-13,1683.76,1700.0,1682.91,1694.58,400383008,KRW
2010-05-14,1685.75,1699.59,1677.44,1695.63,432900000,KRW
2010-05-17,1668.57,1673.01,1644.71,1651.51,402483008,KRW
2010-05-18,1662.31,1663.15,1629.35,1643.24,493335008,KRW
2010-05-19,1621.32,1630.31,1601.54,1630.08,417503008,KRW
2010-05-20,1624.17,1640.47,1591.93,1600.18,358176000,KRW
2010-05-24,1589.83,1612.91,1585.62,1604.93,270820000,KRW
2010-05-25,1585.17,1585.6,1532.68,1560.83,475232000,KRW
2010-05-26,1575.29,1582.12,1549.65,1582.12,358160000,KRW
2010-05-27,1565.59,1611.59,1565.4,1607.5,357561984,KRW
2010-05-28,1630.14,1630.18,1606.76,1622.78,315904992,KRW
2010-05-31,1625.08,1641.25,1621.09,1641.25,299379008,KRW
2010-06-01,1634.55,1643.08,1623.4,1630.4,314095008,KRW
2010-06-03,1643.74,1663.67,1641.77,1661.84,308760000,KRW
2010-06-04,1660.99,1670.94,1658.52,1664.13,286092992,KRW
2010-06-07,1628.06,1638.88,1618.57,1637.97,300881984,KRW
2010-06-08,1635.01,1656.37,1630.43,1651.48,280288000,KRW
2010-06-09,1653.12,1655.61,1638.38,1647.22,315107008,KRW
2010-06-10,1651.92,1662.32,1643.71,1651.7,307927008,KRW
2010-06-11,1674.61,1681.7,1662.75,1675.34,369417984,KRW
2010-06-14,1683.29,1698.21,1681.95,1690.6,373940992,KRW
2010-06-15,1687.85,1696.74,1684.52,1690.03,347777984,KRW
2010-06-16,1707.98,1710.57,1694.92,1705.33,379960000,KRW
2010-06-17,1707.29,1711.48,1701.28,1707.92,369768992,KRW
2010-06-18,1710.4,1712.35,1701.92,1711.95,293742016,KRW
2010-06-21,1728.37,1741.48,1723.77,1739.68,391908992,KRW
2010-06-22,1727.96,1734.42,1723.96,1731.48,404656992,KRW
2010-06-23,1722.52,1731.78,1721.41,1725.82,371812000,KRW
2010-06-24,1724.85,1739.87,1721.72,1739.87,313775008,KRW
2010-06-25,1721.53,1733.7,1719.08,1729.84,303712000,KRW
2010-06-28,1734.53,1735.27,1726.25,1732.03,346984992,KRW
2010-06-29,1735.31,1739.97,1703.47,1707.76,381278016,KRW
2010-06-30,1678.54,1699.55,1675.47,1698.29,341735008,KRW
2010-07-01,1687.0,1693.9,1664.54,1686.24,327662016,KRW
2010-07-02,1688.95,1693.75,1667.38,1671.82,344944992,KRW
2010-07-05,1675.43,1680.39,1664.22,1675.37,356620000,KRW
2010-07-06,1664.87,1684.94,1650.3,1684.94,337489984,KRW
2010-07-07,1685.77,1685.77,1668.61,1675.65,345702016,KRW
2010-07-08,1699.17,1702.65,1692.93,1698.64,330724992,KRW
2010-07-09,1708.72,1723.14,1697.61,1723.01,471780992,KRW
2010-07-12,1731.73,1734.05,1724.6,1734.05,345884000,KRW
2010-07-13,1737.92,1750.48,1732.85,1735.08,412054016,KRW
2010-07-14,1754.43,1764.81,1754.12,1758.01,534459008,KRW
2010-07-15,1754.71,1759.19,1748.98,1751.29,392852992,KRW
2010-07-16,1751.2,1754.28,1736.66,1738.45,376492992,KRW
2010-07-19,1719.14,1737.9,1717.97,1731.95,282113984,KRW
2010-07-20,1727.38,1740.82,1724.6,1736.77,308028000,KRW
2010-07-21,1752.69,1755.66,1740.11,1748.78,375928992,KRW
2010-07-22,1744.7,1752.58,1732.49,1735.53,405179008,KRW
2010-07-23,1756.38,1760.62,1745.04,1758.06,372764000,KRW
2010-07-26,1760.1,1774.05,1758.99,1769.07,320599008,KRW
2010-07-27,1775.47,1778.72,1765.42,1768.31,361543008,KRW
2010-07-28,1773.69,1775.82,1764.54,1773.47,325704000,KRW
2010-07-29,1770.44,1776.96,1767.96,1770.88,348622016,KRW
2010-07-30,1768.24,1774.74,1754.58,1759.33,370940000,KRW
2010-08-02,1771.38,1784.1,1767.6,1782.27,332860000,KRW
2010-08-03,1796.0,1796.28,1784.57,1790.6,349328000,KRW
2010-08-04,1795.23,1795.23,1774.48,1789.26,335352992,KRW
2010-08-05,1796.63,1797.42,1773.49,1783.86,338135008,KRW
2010-08-06,1782.47,1785.98,1769.46,1783.83,336264000,KRW
2010-08-09,1779.38,1790.21,1776.72,1790.17,290699008,KRW
2010-08-10,1792.12,1794.55,1779.57,1781.13,301059008,KRW
2010-08-11,1775.34,1776.99,1754.18,1758.19,380356000,KRW
2010-08-12,1731.34,1742.8,1721.75,1721.75,359759008,KRW
2010-08-13,1731.15,1747.11,1725.24,1746.24,278600000,KRW
2010-08-16,1735.36,1746.02,1716.86,1743.31,314462016,KRW
2010-08-17,1737.36,1757.22,1734.51,1755.03,426996992,KRW
2010-08-18,1763.84,1765.01,1753.68,1761.99,371484992,KRW
2010-08-19,1763.6,1781.07,1762.98,1779.64,344945984,KRW
2010-08-20,1769.02,1776.35,1765.58,1775.54,362004000,KRW
2010-08-23,1780.59,1788.71,1766.77,1767.71,330335008,KRW
2010-08-24,1757.1,1771.76,1749.11,1760.53,401704992,KRW
