Date,Open,High,Low,Close,Volume,Currency
2010-03-22,9995.43,10026.38,9961.08,9963.35,0,PKR
2010-03-24,9986.07,10164.9,9986.07,10146.27,0,PKR
2010-03-25,10192.92,10224.88,10119.0,10127.03,0,PKR
2010-03-26,10133.74,10179.72,10109.15,10137.93,0,PKR
2010-03-29,10165.02,10173.76,10042.42,10056.46,0,PKR
2010-03-30,10056.42,10131.18,10015.55,10073.76,0,PKR
2010-03-31,10071.99,10284.6,10071.99,10178.43,0,PKR
2010-04-01,10236.91,10314.73,10227.86,10246.77,0,PKR
2010-04-02,10260.41,10429.99,10260.41,10416.51,0,PKR
2010-04-05,10443.24,10491.82,10403.83,10447.84,0,PKR
2010-04-06,10479.93,10554.52,10405.13,10419.82,0,PKR
2010-04-07,10442.81,10552.7,10442.81,10523.01,0,PKR
2010-04-08,10549.47,10594.39,10492.34,10533.57,0,PKR
2010-04-09,10560.06,10627.96,10560.06,10586.46,0,PKR
2010-04-12,10587.18,10637.08,10533.4,10557.19,0,PKR
2010-04-13,10579.96,10586.57,10498.73,10506.2,0,PKR
2010-04-14,10532.59,10592.62,10495.48,10570.88,0,PKR
2010-04-15,10574.99,10688.76,10574.99,10677.47,0,PKR
2010-04-16,10702.51,10720.6,10646.22,10659.21,0,PKR
2010-04-19,10674.33,10691.79,10632.31,10669.88,0,PKR
2010-04-20,10685.2,10731.39,10634.76,10641.52,0,PKR
2010-04-21,10644.4,10654.53,10529.3,10590.21,0,PKR
2010-04-22,10604.68,10681.77,10599.1,10615.15,0,PKR
2010-04-23,10618.9,10638.24,10578.54,10607.03,0,PKR
2010-04-26,10628.75,10639.69,10539.72,10556.37,0,PKR
2010-04-27,10562.52,10625.17,10543.09,10556.38,0,PKR
2010-04-28,10572.67,10578.81,10445.43,10519.02,0,PKR
2010-04-29,10518.7,10579.44,10425.93,10454.63,0,PKR
2010-04-30,10455.3,10485.73,10407.54,10428.12,0,PKR
2010-05-03,10420.94,10455.76,10340.13,10389.46,0,PKR
2010-05-04,10390.72,10559.83,10390.72,10467.76,0,PKR
2010-05-05,10467.96,10589.35,10425.64,10561.74,0,PKR
2010-05-06,10569.54,10601.79,10538.28,10553.12,0,PKR
2010-05-07,10527.08,10527.08,10255.14,10271.47,0,PKR
2010-05-10,10261.86,10338.47,10246.86,10288.14,0,PKR
2010-05-11,10335.06,10381.51,10192.64,10208.81,0,PKR
2010-05-12,10213.08,10245.15,10079.65,10222.04,0,PKR
2010-05-13,10242.81,10303.57,10212.83,10279.52,0,PKR
2010-05-14,10291.31,10341.47,10230.97,10271.71,0,PKR
2010-05-17,10269.87,10269.87,10023.6,10033.76,0,PKR
2010-05-18,10032.38,10113.16,10001.57,10082.04,0,PKR
2010-05-19,10074.08,10096.28,9938.99,10050.04,0,PKR
2010-05-20,10037.33,10071.98,9977.51,9993.4,0,PKR
2010-05-21,9978.1,9984.27,9818.63,9871.16,0,PKR
2010-05-24,9872.32,9883.57,9656.48,9687.41,0,PKR
2010-05-25,9661.69,9752.3,9357.8,9428.44,0,PKR
2010-05-26,9427.41,9627.61,9355.34,9611.55,0,PKR
2010-05-27,9613.01,9655.37,9411.57,9439.97,0,PKR
2010-05-28,9442.91,9593.44,9426.21,9521.15,0,PKR
2010-05-31,9516.13,9542.93,9304.27,9326.42,0,PKR
2010-06-01,9308.03,9339.96,9164.4,9294.18,0,PKR
2010-06-02,9309.54,9528.22,9273.34,9499.06,0,PKR
2010-06-03,9514.77,9651.28,9466.52,9621.3,0,PKR
2010-06-04,9649.26,9665.29,9543.47,9636.88,0,PKR
2010-06-07,9627.08,9825.99,9531.65,9791.64,0,PKR
2010-06-08,9816.66,9822.16,9705.37,9763.17,0,PKR
2010-06-09,9768.14,9779.3,9670.78,9678.38,0,PKR
2010-06-10,9673.3,9692.33,9355.94,9379.78,0,PKR
2010-06-11,9379.3,9499.61,9379.3,9471.12,0,PKR
2010-06-14,9312.4,9324.56,9131.11,9229.6,0,PKR
2010-06-15,9239.94,9370.36,9176.27,9250.55,0,PKR
2010-06-16,9285.74,9481.83,9274.55,9436.88,0,PKR
2010-06-17,9405.73,9709.88,9320.49,9676.71,0,PKR
2010-06-18,9704.5,9820.35,9611.17,9645.71,0,PKR
2010-06-21,9646.32,9691.53,9608.63,9651.31,0,PKR
2010-06-22,9665.27,9786.06,9663.37,9682.32,0,PKR
2010-06-23,9691.0,9745.15,9675.19,9715.39,0,PKR
2010-06-24,9721.28,9836.13,9720.11,9791.89,0,PKR
2010-06-25,9817.62,9848.15,9715.13,9796.85,0,PKR
2010-06-28,9790.64,9859.42,9656.33,9671.55,0,PKR
2010-06-29,9676.93,9738.16,9568.87,9702.03,0,PKR
