Date,Open,High,Low,Close,Volume,Currency
2010-03-22,1421.0,1421.0,1398.08,1417.55,0,RUB
2010-03-23,1417.85,1427.61,1404.15,1410.61,0,RUB
2010-03-24,1410.61,1417.24,1398.44,1404.77,0,RUB
2010-03-25,1404.76,1412.14,1395.13,1406.66,0,RUB
2010-03-26,1406.71,1419.8,1403.51,1415.54,0,RUB
2010-03-29,1415.54,1440.8,1411.91,1440.2,0,RUB
2010-03-30,1440.2,1450.0,1433.19,1443.81,0,RUB
2010-03-31,1443.82,1461.89,1438.37,1450.15,0,RUB
2010-04-01,1450.16,1482.37,1450.16,1479.66,0,RUB
2010-04-02,1479.73,1487.98,1472.61,1480.17,0,RUB
2010-04-05,1480.46,1488.53,1473.7,1487.55,0,RUB
2010-04-06,1487.51,1506.03,1479.28,1498.64,0,RUB
2010-04-07,1498.64,1501.29,1476.6,1478.44,0,RUB
2010-04-08,1478.41,1479.56,1460.4,1476.59,0,RUB
2010-04-09,1476.59,1502.65,1476.59,1496.88,0,RUB
2010-04-12,1496.88,1512.07,1493.29,1502.66,0,RUB
2010-04-13,1502.64,1508.32,1488.97,1499.34,0,RUB
2010-04-14,1499.36,1527.83,1499.36,1526.61,0,RUB
2010-04-15,1526.61,1539.63,1519.99,1530.93,0,RUB
2010-04-16,1530.92,1530.92,1494.57,1495.08,0,RUB
2010-04-19,1494.98,1494.98,1438.52,1459.17,0,RUB
2010-04-20,1459.18,1482.34,1459.18,1473.92,0,RUB
2010-04-21,1473.92,1488.87,1462.21,1465.87,0,RUB
2010-04-22,1465.87,1475.37,1436.48,1443.36,0,RUB
2010-04-23,1443.36,1467.62,1443.36,1467.62,0,RUB
2010-04-26,1467.64,1489.36,1467.64,1484.26,0,RUB
2010-04-27,1484.19,1484.19,1454.71,1464.17,0,RUB
2010-04-28,1462.7,1462.7,1424.26,1430.28,0,RUB
2010-04-29,1430.81,1455.17,1430.81,1455.14,0,RUB
2010-04-30,1455.12,1455.82,1431.07,1436.04,0,RUB
2010-05-04,1436.04,1448.67,1392.39,1393.07,0,RUB
2010-05-05,1393.07,1403.82,1357.73,1378.43,0,RUB
2010-05-06,1378.43,1391.49,1363.05,1365.13,0,RUB
2010-05-07,1365.09,1365.09,1282.93,1288.61,0,RUB
2010-05-11,1289.28,1342.62,1289.28,1334.15,0,RUB
2010-05-12,1334.03,1395.5,1323.68,1391.87,0,RUB
2010-05-13,1391.94,1418.02,1363.58,1378.7,0,RUB
2010-05-14,1378.69,1378.69,1347.07,1352.01,0,RUB
2010-05-17,1351.92,1362.3,1316.58,1357.26,0,RUB
2010-05-18,1357.51,1369.35,1345.97,1362.32,0,RUB
2010-05-19,1362.25,1362.25,1311.84,1320.9,0,RUB
2010-05-20,1320.9,1340.4,1261.19,1263.99,0,RUB
2010-05-21,1264.06,1279.86,1237.32,1264.91,0,RUB
2010-05-24,1264.83,1286.92,1248.39,1269.37,0,RUB
2010-05-25,1269.1,1269.1,1195.09,1197.39,0,RUB
2010-05-26,1198.18,1265.93,1198.18,1265.18,0,RUB
2010-05-27,1265.18,1310.43,1259.7,1305.99,0,RUB
2010-05-28,1306.47,1313.36,1292.46,1309.09,0,RUB
2010-05-31,1309.08,1333.19,1304.72,1332.62,0,RUB
2010-06-01,1332.62,1332.62,1297.1,1325.49,0,RUB
2010-06-02,1325.47,1344.56,1301.33,1341.24,0,RUB
2010-06-03,1341.41,1371.76,1341.41,1350.48,0,RUB
2010-06-04,1350.46,1378.2,1322.88,1333.49,0,RUB
2010-06-07,1333.49,1333.49,1289.5,1322.0,0,RUB
2010-06-08,1322.0,1338.51,1297.58,1301.41,0,RUB
2010-06-09,1301.41,1323.95,1301.41,1315.13,0,RUB
2010-06-10,1315.15,1340.36,1301.18,1340.09,0,RUB
2010-06-11,1340.09,1345.94,1323.31,1336.09,0,RUB
2010-06-15,1336.14,1371.66,1334.64,1371.31,0,RUB
2010-06-16,1371.31,1383.36,1356.86,1369.59,0,RUB
2010-06-17,1369.58,1383.37,1351.99,1356.18,0,RUB
2010-06-18,1356.18,1368.91,1350.53,1367.71,0,RUB
2010-06-21,1367.75,1407.91,1367.75,1406.21,0,RUB
2010-06-22,1405.12,1405.12,1380.17,1388.11,0,RUB
2010-06-23,1388.24,1394.66,1371.09,1377.97,0,RUB
2010-06-24,1377.97,1388.92,1360.21,1363.15,0,RUB
2010-06-25,1363.15,1366.75,1346.13,1347.58,0,RUB
2010-06-28,1347.58,1370.2,1347.58,1363.4,0,RUB
2010-06-29,1363.4,1363.4,1315.91,1323.29,0,RUB
2010-06-30,1323.29,1329.15,1301.39,1309.31,0,RUB
2010-07-01,1309.31,1309.31,1253.52,1254.65,0,RUB
2010-07-02,1255.18,1288.76,1255.18,1288.05,0,RUB
2010-07-05,1288.05,1297.47,1281.71,1292.19,0,RUB
2010-07-06,1292.2,1328.12,1292.2,1327.63,0,RUB
2010-07-07,1327.63,1329.13,1294.44,1327.77,0,RUB
2010-07-08,1327.77,1346.6,1319.6,1320.64,0,RUB
2010-07-09,1320.68,1332.29,1308.56,1324.17,0,RUB
2010-07-12,1324.17,1351.21,1319.95,1344.57,0,RUB
2010-07-13,1344.57,1373.23,1337.14,1367.91,0,RUB
2010-07-14,1367.91,1379.5,1353.99,1358.6,0,RUB
2010-07-15,1358.59,1375.57,1339.9,1340.2,0,RUB
2010-07-16,1340.22,1353.7,1325.26,1327.55,0,RUB
2010-07-19,1327.55,1346.65,1322.43,1336.55,0,RUB
2010-07-20,1336.63,1349.62,1319.79,1328.71,0,RUB
2010-07-21,1328.85,1360.04,1328.85,1354.83,0,RUB
2010-07-22,1354.83,1381.44,1344.17,1381.36,0,RUB
2010-07-23,1381.35,1389.12,1373.92,1380.86,0,RUB
2010-07-26,1380.88,1399.46,1380.88,1396.92,0,RUB
2010-07-27,1396.92,1413.99,1391.77,1401.56,0,RUB
2010-07-28,1401.56,1411.35,1388.83,1394.89,0,RUB
2010-07-29,1394.89,1425.01,1394.89,1418.35,0,RUB
2010-07-30,1418.3,1418.3,1382.78,1397.12,0,RUB
2010-08-02,1397.15,1431.53,1397.15,1429.36,0,RUB
2010-08-03,1429.36,1433.57,1406.04,1412.25,0,RUB
2010-08-04,1412.25,1429.03,1400.7,1418.05,0,RUB
2010-08-05,1418.18,1429.22,1407.15,1414.65,0,RUB
2010-08-06,1414.65,1423.39,1397.36,1403.08,0,RUB
2010-08-09,1403.09,1427.88,1403.09,1419.2,0,RUB
2010-08-10,1419.2,1419.2,1388.95,1397.66,0,RUB
2010-08-11,1397.65,1397.65,1372.31,1376.88,0,RUB
2010-08-12,1376.88,1387.94,1364.5,1375.54,0,RUB
2010-08-13,1375.54,1386.52,1366.02,1371.46,0,RUB
2010-08-16,1371.46,1378.76,1356.31,1373.22,0,RUB
2010-08-17,1373.22,1394.65,1373.22,1391.47,0,RUB
2010-08-18,1391.47,1391.47,1380.22,1386.8,0,RUB
2010-08-19,1386.79,1400.89,1374.48,1375.11,0,RUB
2010-08-20,1375.11,1379.35,1357.97,1366.32,0,RUB
2010-08-23,1366.32,1373.99,1356.41,1366.76,0,RUB
2010-08-24,1366.68,1366.68,1337.47,1339.82,0,RUB
2010-08-25,1339.82,1352.69,1328.18,1334.66,0,RUB
