Date,Open,High,Low,Close,Volume,Currency
2010-03-23,10793.05,10817.78,10766.65,10774.15,0,JPY
2010-03-24,10829.36,10880.62,10769.18,10815.03,0,JPY
2010-03-25,10857.81,10872.45,10808.71,10828.85,0,JPY
2010-03-26,10895.29,11001.59,10889.33,10996.37,0,JPY
2010-03-29,10909.98,10990.75,10901.2,10986.47,0,JPY
2010-03-30,11022.2,11108.82,11003.35,11097.14,0,JPY
2010-03-31,11138.72,11147.62,11085.55,11089.94,0,JPY
2010-04-01,11178.92,11272.73,11118.18,11244.4,0,JPY
2010-04-02,11274.18,11313.98,11235.98,11286.09,0,JPY
2010-04-05,11380.63,11408.17,11306.62,11339.3,0,JPY
2010-04-06,11350.7,11358.45,11217.25,11282.32,0,JPY
2010-04-07,11296.31,11350.57,11260.42,11292.83,0,JPY
2010-04-08,11179.67,11232.36,11159.45,11168.2,0,JPY
2010-04-09,11174.62,11204.87,11148.8,11204.34,0,JPY
2010-04-12,11300.79,11351.55,11248.57,11251.9,0,JPY
2010-04-13,11202.92,11212.65,11088.48,11161.23,0,JPY
2010-04-14,11213.46,11270.2,11161.01,11204.9,0,JPY
2010-04-15,11310.07,11316.66,11255.8,11273.79,0,JPY
2010-04-16,11230.53,11230.53,11084.72,11102.18,0,JPY
2010-04-19,10929.64,10953.9,10878.99,10908.77,0,JPY
2010-04-20,10960.11,10999.57,10890.82,10900.68,0,JPY
2010-04-21,11031.79,11093.3,11023.88,11090.05,0,JPY
2010-04-22,10988.01,10989.62,10866.23,10949.09,0,JPY
2010-04-23,10930.9,10967.12,10865.92,10914.46,0,JPY
2010-04-26,11039.59,11165.79,11035.66,11165.79,0,JPY
2010-04-27,11109.26,11213.45,11108.72,11212.66,0,JPY
2010-04-28,11005.51,11008.88,10882.4,10924.79,0,JPY
2010-04-30,11062.12,11092.52,11035.27,11057.4,0,JPY
2010-05-06,10847.9,10847.9,10682.61,10695.69,0,JPY
2010-05-07,10472.7,10472.77,10257.32,10364.59,0,JPY
2010-05-10,10399.05,10540.52,10362.34,10530.7,0,JPY
2010-05-11,10643.24,10643.28,10392.47,10411.1,0,JPY
2010-05-12,10465.03,10501.72,10345.19,10394.03,0,JPY
2010-05-13,10542.77,10638.23,10535.94,10620.55,0,JPY
2010-05-14,10453.4,10551.69,10390.77,10462.51,0,JPY
2010-05-17,10329.37,10331.87,10158.3,10235.76,0,JPY
2010-05-18,10313.14,10336.53,10197.74,10242.64,0,JPY
2010-05-19,10087.33,10186.84,10041.93,10186.84,0,JPY
