Date,Open,High,Low,Close,Volume,Currency
2010-03-22,1017.62,1027.37,1011.83,1021.42,127792576,SEK
2010-03-23,1023.08,1030.17,1021.9,1030.13,97378144,SEK
2010-03-24,1032.91,1033.13,1017.52,1027.08,103062848,SEK
2010-03-25,1026.09,1036.3,1024.92,1033.34,102987032,SEK
2010-03-26,1029.34,1029.73,1022.38,1027.42,101598296,SEK
2010-03-29,1030.52,1034.15,1024.3,1026.7,87957504,SEK
2010-03-30,1031.0,1031.52,1022.05,1022.79,88118832,SEK
2010-03-31,1022.59,1024.68,1016.26,1021.08,139055024,SEK
2010-04-01,1026.67,1037.04,1025.69,1036.93,69417664,SEK
2010-04-06,1038.98,1046.25,1036.95,1046.0,130584464,SEK
2010-04-07,1045.87,1046.58,1040.93,1042.78,102663968,SEK
2010-04-08,1040.2,1040.2,1028.47,1036.73,117644560,SEK
2010-04-09,1042.85,1044.68,1040.83,1044.58,103158544,SEK
2010-04-12,1048.86,1049.54,1044.96,1048.27,87313256,SEK
2010-04-13,1042.9,1048.1,1037.56,1046.5,120120584,SEK
2010-04-14,1047.42,1052.28,1043.33,1051.76,120181104,SEK
2010-04-15,1052.53,1053.61,1044.0,1053.25,119740632,SEK
2010-04-16,1057.15,1063.61,1046.37,1050.24,170538896,SEK
2010-04-19,1044.44,1049.13,1036.44,1043.04,121852032,SEK
2010-04-20,1050.14,1057.72,1047.47,1055.34,115554664,SEK
2010-04-21,1056.72,1058.18,1042.23,1042.48,145102768,SEK
2010-04-22,1040.68,1049.64,1028.81,1038.34,178620768,SEK
2010-04-23,1042.59,1068.29,1039.25,1066.82,257531056,SEK
2010-04-26,1074.79,1077.47,1067.82,1067.9,153476400,SEK
2010-04-27,1070.18,1070.74,1042.82,1042.82,180533088,SEK
2010-04-28,1039.6,1059.9,1032.79,1042.87,229354992,SEK
2010-04-29,1047.03,1061.77,1042.06,1061.77,170908080,SEK
2010-04-30,1059.01,1061.84,1049.82,1053.88,85378704,SEK
2010-05-03,1049.54,1059.58,1044.61,1059.44,86258720,SEK
2010-05-04,1062.66,1062.88,1027.5,1027.5,170743088,SEK
2010-05-05,1025.78,1030.77,1000.41,1000.7,200695904,SEK
2010-05-06,991.61,1010.45,973.2,977.25,237769856,SEK
2010-05-07,952.41,973.61,929.02,944.57,328720672,SEK
2010-05-10,977.98,1005.34,974.44,1005.34,229484064,SEK
2010-05-11,998.95,999.23,983.58,993.04,155246064,SEK
2010-05-12,991.82,1011.11,984.29,1010.25,89761792,SEK
2010-05-14,1012.62,1013.57,983.74,984.91,151613696,SEK
2010-05-17,976.9,1000.9,974.17,991.58,143434720,SEK
2010-05-18,1001.66,1003.88,994.5,1000.41,111014320,SEK
2010-05-19,991.0,991.29,967.16,969.06,163286496,SEK
2010-05-20,976.12,981.6,933.16,947.93,180079248,SEK
2010-05-21,948.22,958.48,934.02,953.77,186746608,SEK
2010-05-24,962.98,963.88,939.69,953.54,113715600,SEK
2010-05-25,930.65,938.9,923.13,931.48,188792992,SEK
2010-05-26,948.3,961.35,942.82,957.05,194486032,SEK
2010-05-27,962.81,979.06,959.18,978.55,122475848,SEK
2010-05-28,988.92,988.92,975.39,979.12,107075024,SEK
2010-05-31,979.46,985.32,977.82,980.62,45806712,SEK
2010-06-01,977.85,985.63,961.16,981.25,97137088,SEK
2010-06-02,976.35,991.22,970.06,989.77,103282624,SEK
2010-06-03,1001.19,1013.02,1000.93,1005.93,109741264,SEK
2010-06-04,1009.66,1014.94,985.88,988.46,129427288,SEK
2010-06-07,975.22,990.29,970.44,977.63,105021904,SEK
2010-06-08,980.24,984.26,963.55,972.0,110650016,SEK
2010-06-09,977.66,996.99,972.22,996.85,107474280,SEK
2010-06-10,993.44,1018.58,989.06,1017.74,126505792,SEK
2010-06-11,1022.39,1022.39,1006.26,1016.29,116659472,SEK
2010-06-14,1022.93,1033.01,1022.93,1032.6,85744176,SEK
2010-06-15,1027.45,1045.81,1026.14,1045.29,104394328,SEK
2010-06-16,1050.23,1051.33,1032.62,1045.73,113164688,SEK
2010-06-17,1040.9,1053.1,1038.61,1046.51,108257040,SEK
2010-06-18,1049.4,1056.65,1047.47,1054.58,119566080,SEK
2010-06-21,1066.0,1069.72,1055.59,1060.51,105529272,SEK
2010-06-22,1052.84,1065.93,1049.4,1059.38,100163320,SEK
2010-06-23,1049.95,1064.51,1044.68,1047.67,90808920,SEK
2010-06-24,1051.64,1053.49,1019.87,1021.43,105200288,SEK
2010-06-28,1025.67,1028.41,1012.28,1025.89,109299152,SEK
2010-06-29,1016.4,1016.74,989.8,993.92,114474784,SEK
2010-06-30,1000.37,1009.33,991.11,1005.93,158180896,SEK
2010-07-01,992.78,1005.48,975.49,981.54,130667040,SEK
2010-07-02,991.65,995.59,980.98,983.3,98740512,SEK
2010-07-05,988.69,991.4,979.11,980.94,60922568,SEK
2010-07-06,987.4,1011.92,984.9,1009.41,94632104,SEK
2010-07-07,1004.62,1022.65,992.24,1020.43,86654960,SEK
2010-07-08,1028.83,1029.28,1007.07,1013.16,103181680,SEK
2010-07-09,1020.72,1029.35,1016.26,1028.12,79411808,SEK
2010-07-12,1031.87,1034.31,1020.28,1030.18,60956736,SEK
2010-07-13,1030.5,1061.1,1028.98,1061.1,118749864,SEK
2010-07-14,1066.1,1067.5,1055.16,1063.74,82696400,SEK
2010-07-15,1060.8,1067.55,1048.87,1055.52,111834184,SEK
2010-07-16,1059.62,1062.31,1032.97,1034.69,119907432,SEK
2010-07-19,1032.54,1044.92,1024.66,1032.73,95277496,SEK
2010-07-20,1037.88,1040.23,1016.54,1027.36,115570792,SEK
2010-07-21,1035.64,1053.45,1034.51,1040.84,115682360,SEK
2010-07-22,1041.8,1067.08,1035.95,1065.37,125076952,SEK
2010-07-23,1060.49,1067.29,1050.11,1057.77,119662880,SEK
2010-07-26,1065.05,1066.85,1050.85,1059.44,78725576,SEK
2010-07-27,1063.56,1068.7,1056.6,1059.3,117998536,SEK
2010-07-28,1063.61,1066.99,1048.85,1050.84,109154584,SEK
2010-07-29,1054.18,1060.17,1047.38,1049.02,98764416,SEK
2010-07-30,1045.22,1055.28,1037.72,1047.26,95101920,SEK
2010-08-02,1052.11,1076.02,1051.59,1074.61,98945744,SEK
2010-08-03,1073.93,1074.69,1067.73,1073.17,70956064,SEK
2010-08-04,1072.19,1075.45,1063.61,1071.28,79507744,SEK
2010-08-05,1071.44,1083.9,1069.14,1074.4,77479864,SEK
2010-08-06,1076.62,1082.51,1062.22,1065.22,92072224,SEK
2010-08-09,1072.18,1077.78,1066.87,1073.53,58662544,SEK
2010-08-10,1069.64,1071.66,1059.78,1063.32,68554368,SEK
2010-08-11,1060.34,1060.34,1034.64,1036.28,96338640,SEK
2010-08-12,1032.55,1042.84,1022.48,1031.23,110474920,SEK
2010-08-13,1040.37,1040.68,1021.94,1036.45,92391384,SEK
2010-08-16,1042.05,1046.69,1033.25,1046.09,87419984,SEK
2010-08-17,1046.92,1057.46,1045.7,1057.14,78621304,SEK
2010-08-18,1054.06,1060.28,1050.84,1057.2,77037288,SEK
2010-08-19,1059.06,1061.63,1039.9,1040.42,97271848,SEK
2010-08-20,1038.91,1044.26,1018.35,1020.63,98539488,SEK
2010-08-23,1022.67,1029.93,1014.26,1021.78,103984232,SEK
2010-08-24,1015.65,1016.06,994.63,1005.34,112278704,SEK
2010-08-25,1003.2,1011.84,982.52,995.68,116257856,SEK
2010-08-26,1005.66,1009.56,1000.26,1006.16,91388472,SEK
2010-08-27,1003.34,1018.97,998.75,1018.89,94342736,SEK
2010-08-30,1022.49,1025.84,1000.87,1008.51,84574424,SEK
