Date,Open,High,Low,Close,Volume,Currency
2011-11-02,4332.93,4332.93,4254.44,4260.41,193415,PHP
2011-11-03,4264.2,4286.26,4207.44,4210.25,346353,PHP
2011-11-04,4229.72,4275.7,4229.72,4271.72,196729,PHP
2011-11-08,4277.7,4322.26,4277.7,4314.67,146904,PHP
2011-11-09,4324.38,4346.2,4308.07,4346.2,135238,PHP
2011-11-10,4338.58,4338.58,4269.67,4285.06,168264,PHP
2011-11-11,4285.35,4315.78,4285.35,4312.96,175799,PHP
2011-11-14,4312.96,4362.38,4312.96,4356.87,196507,PHP
2011-11-15,4350.82,4363.73,4337.92,4363.73,383578,PHP
2011-11-16,4362.23,4394.9,4337.56,4341.62,471612,PHP
2011-11-17,4339.46,4354.46,4323.16,4334.66,667181,PHP
2011-11-18,4323.05,4323.05,4302.43,4302.43,544548,PHP
2011-11-21,4301.25,4301.25,4286.76,4299.47,555354,PHP
2011-11-22,4283.7,4289.75,4259.97,4289.75,662517,PHP
2011-11-23,4284.7,4293.04,4268.7,4271.59,628259,PHP
2011-11-24,4269.89,4269.89,4212.43,4237.65,724813,PHP
2011-11-25,4240.65,4261.59,4227.82,4261.59,351139,PHP
2011-11-28,4261.59,4274.84,4227.88,4227.88,232634,PHP
2011-11-29,4228.12,4255.5,4211.04,4211.04,454400,PHP
2011-12-01,4288.15,4296.87,4276.45,4290.59,763598,PHP
2011-12-02,4288.9,4299.5,4278.37,4290.92,743885,PHP
2011-12-05,4293.79,4293.79,4271.5,4291.72,160489,PHP
2011-12-06,4288.47,4288.47,4269.96,4282.77,136280,PHP
2011-12-07,4284.42,4315.17,4282.57,4315.17,104417,PHP
2011-12-08,4319.85,4320.08,4291.2,4312.89,151673,PHP
2011-12-09,4284.6,4304.8,4266.24,4292.5,117879,PHP
2011-12-12,4302.43,4318.19,4276.34,4276.34,259871,PHP
2011-12-13,4276.34,4298.27,4267.33,4282.62,211956,PHP
2011-12-14,4283.85,4295.75,4282.98,4285.93,206218,PHP
2011-12-15,4286.48,4295.85,4273.95,4282.67,116473,PHP
2011-12-16,4283.26,4311.78,4283.26,4304.94,217481,PHP
2011-12-19,4304.94,4326.66,4304.94,4318.12,112888,PHP
2011-12-20,4319.66,4342.18,4301.13,4342.18,722205,PHP
2011-12-21,4362.76,4383.79,4362.76,4368.88,170560,PHP
2011-12-22,4365.84,4385.31,4352.1,4370.46,98866,PHP
2011-12-23,4374.2,4388.85,4372.24,4372.24,114926,PHP
2011-12-26,4375.5,4387.06,4372.08,4387.06,52652,PHP
2011-12-27,4386.89,4386.89,4340.19,4361.43,83761,PHP
2011-12-28,4359.54,4366.56,4335.07,4336.63,70419,PHP
2011-12-29,4336.63,4371.96,4336.63,4371.96,86200,PHP
2012-01-02,4371.96,4397.08,4370.83,4397.08,16619,PHP
2012-01-03,4398.86,4422.22,4398.86,4422.22,52004,PHP
2012-01-04,4422.95,4487.77,4422.95,4487.77,82524,PHP
2012-01-05,4487.77,4527.21,4480.06,4518.91,118462,PHP
2012-01-06,4517.66,4520.33,4476.04,4483.36,52419,PHP
2012-01-09,4483.43,4541.6,4476.79,4541.6,50326,PHP
2012-01-10,4542.87,4591.26,4533.81,4561.08,141695,PHP
2012-01-11,4576.32,4656.27,4576.32,4645.86,196241,PHP
2012-01-12,4644.17,4654.65,4629.6,4648.11,216948,PHP
2012-01-13,4649.0,4663.35,4602.02,4613.83,158875,PHP
2012-01-16,4606.97,4610.57,4578.92,4578.92,52117,PHP
2012-01-17,4581.7,4642.76,4581.7,4642.76,96550,PHP
2012-01-18,4642.98,4692.18,4642.34,4677.62,99308,PHP
2012-01-19,4678.8,4713.57,4675.52,4700.37,89627,PHP
2012-01-20,4704.63,4747.9,4704.63,4747.9,109291,PHP
2012-01-24,4748.04,4756.78,4707.73,4714.35,67777,PHP
2012-01-25,4715.57,4715.57,4668.68,4670.49,56859,PHP
2012-01-26,4673.06,4673.06,4587.77,4611.68,160767,PHP
2012-01-27,4615.79,4679.89,4615.38,4679.89,150011,PHP
2012-01-30,4680.63,4680.63,4612.12,4644.49,188275,PHP
2012-01-31,4645.18,4682.44,4635.91,4682.44,160284,PHP
2012-02-01,4676.58,4721.95,4673.0,4715.64,184081,PHP
2012-02-02,4716.2,4822.08,4716.2,4822.08,157281,PHP
2012-02-03,4800.47,4804.81,4739.87,4758.57,205108,PHP
2012-02-06,4782.93,4855.0,4782.21,4816.33,156188,PHP
2012-02-07,4816.04,4818.8,4755.98,4755.98,87348,PHP
2012-02-08,4757.44,4806.97,4757.44,4805.8,127040,PHP
2012-02-09,4807.32,4811.97,4745.14,4769.62,216015,PHP
2012-02-10,4769.3,4796.47,4746.62,4783.52,93305,PHP
2012-02-13,4796.17,4812.5,4779.36,4802.03,72511,PHP
2012-02-14,4806.23,4806.23,4770.21,4775.93,112426,PHP
