Date,Open,High,Low,Close,Volume,Currency
2010-05-25,6606.32,6678.08,6566.04,6632.32,67627000,EUR
2010-05-26,6753.13,6897.23,6738.25,6844.11,115831000,EUR
2010-05-27,6876.34,7095.95,6860.04,7088.77,88883000,EUR
2010-05-28,7118.52,7151.21,7032.59,7068.08,69755000,EUR
2010-05-31,7035.68,7093.34,7035.68,7072.01,22218000,EUR
2010-06-01,7047.63,7116.47,6972.59,7101.05,62190000,EUR
2010-06-02,7142.98,7168.33,7008.84,7055.02,77387000,EUR
2010-06-03,7137.94,7174.81,7112.84,7131.02,47306000,EUR
2010-06-04,7140.95,7172.16,6968.0,6974.43,65785000,EUR
2010-06-07,6894.6,7020.13,6827.86,6947.15,53340000,EUR
2010-06-08,6996.49,7002.82,6816.15,6868.59,80203000,EUR
2010-06-09,6906.98,6932.08,6834.42,6905.11,56268000,EUR
2010-06-10,6856.65,7088.79,6841.69,7088.79,66808000,EUR
2010-06-11,7088.66,7185.89,7070.27,7145.1,79585000,EUR
2010-06-14,7193.42,7199.94,7123.13,7192.28,41105000,EUR
2010-06-15,7105.38,7230.43,7100.39,7204.13,47981000,EUR
2010-06-16,7251.61,7263.76,7210.6,7252.88,55376000,EUR
2010-06-17,7251.13,7300.69,7210.57,7232.49,40094000,EUR
2010-06-18,7248.72,7411.32,7248.72,7411.32,79446000,EUR
2010-06-21,7471.31,7503.7,7455.19,7487.74,62550000,EUR
2010-06-22,7431.66,7488.51,7383.18,7459.04,42501000,EUR
2010-06-23,7409.51,7477.93,7348.93,7390.9,57168000,EUR
2010-06-24,7420.39,7420.39,7186.51,7223.92,64061000,EUR
2010-06-25,7231.98,7276.64,7162.42,7219.1,44486000,EUR
2010-06-28,7230.06,7259.98,7162.08,7214.37,37947000,EUR
2010-06-29,7136.46,7144.29,7007.22,7021.53,154287008,EUR
2010-06-30,7106.63,7202.42,6983.28,7065.65,91638000,EUR
2010-07-01,6988.6,7074.99,6964.16,7019.28,70895000,EUR
2010-07-02,7063.94,7137.67,7020.88,7075.73,38263000,EUR
