Date,Open,High,Low,Close,Volume,Currency
2010-03-22,769.8,787.27,769.0,772.25,5372883968,THB
2010-03-23,777.99,782.48,774.75,782.48,3609993984,THB
2010-03-24,790.09,793.14,786.54,786.54,4362357248,THB
2010-03-25,787.28,790.66,778.78,784.38,2975537920,THB
2010-03-26,783.96,788.92,778.86,778.86,2732232960,THB
2010-03-29,781.82,782.47,769.14,771.4,2290243072,THB
2010-03-30,774.2,792.14,774.2,788.8,2891538944,THB
2010-03-31,791.2,799.06,787.98,787.98,2949879040,THB
2010-04-01,795.83,803.92,795.26,801.32,4838413824,THB
2010-04-02,806.37,807.49,798.96,801.15,4575749120,THB
2010-04-05,796.01,808.15,790.33,808.15,3450665984,THB
2010-04-07,813.29,820.09,812.38,812.63,3757713920,THB
2010-04-08,808.77,810.91,780.7,783.93,4242209024,THB
2010-04-09,776.12,789.66,775.21,789.66,2313735936,THB
2010-04-12,755.41,763.86,742.9,760.9,3617705984,THB
2010-04-16,748.68,750.61,736.16,736.16,2653067008,THB
2010-04-19,726.76,734.76,714.66,726.29,3186557952,THB
2010-04-20,736.61,765.76,736.56,765.76,2869477888,THB
2010-04-21,760.82,770.52,754.63,757.85,2381288960,THB
2010-04-22,756.34,770.55,755.27,761.18,2281094912,THB
2010-04-23,746.89,754.84,746.89,754.58,1808157056,THB
2010-04-26,763.49,770.09,762.87,764.34,2007832960,THB
2010-04-27,761.23,764.25,758.07,762.0,2063096960,THB
2010-04-28,755.74,759.14,749.36,749.49,3028572928,THB
2010-04-29,751.13,754.24,748.87,753.2,1411531008,THB
2010-04-30,758.73,763.51,757.41,763.51,2676381952,THB
2010-05-04,786.62,798.67,786.04,796.86,4108354048,THB
2010-05-06,787.74,789.82,777.79,785.25,3039377920,THB
2010-05-07,771.79,771.79,761.02,768.55,3232519936,THB
2010-05-10,772.12,781.24,769.17,779.06,2280574976,THB
2010-05-11,785.84,787.38,772.09,772.09,3286817024,THB
2010-05-12,770.99,780.65,768.64,773.72,5150714880,THB
2010-05-13,775.66,777.85,764.63,766.55,2818547968,THB
2010-05-14,755.85,768.79,755.49,768.79,1763436032,THB
2010-05-17,744.85,753.42,744.55,753.26,2377584128,THB
2010-05-18,752.25,761.67,748.3,760.11,1359369984,THB
2010-05-19,752.54,765.54,752.54,765.54,1439188992,THB
2010-05-24,759.9,760.39,742.04,744.31,2283973888,THB
2010-05-25,735.18,735.95,720.47,721.29,3355620096,THB
2010-05-26,727.93,733.11,720.86,728.94,2897581056,THB
2010-05-27,726.61,740.32,726.35,737.28,2465752064,THB
2010-05-31,742.49,750.43,742.49,750.43,2068363008,THB
2010-06-01,752.59,752.59,740.92,740.92,2623350016,THB
2010-06-02,744.94,749.68,743.49,749.68,2362208000,THB
2010-06-03,758.58,766.83,757.08,765.96,3171388928,THB
2010-06-04,767.56,771.53,763.49,771.48,2769414912,THB
2010-06-07,757.03,760.39,754.6,759.85,2453455104,THB
2010-06-08,762.17,766.36,757.41,757.41,3110391040,THB
2010-06-09,760.65,766.21,756.67,764.21,2487979008,THB
2010-06-10,765.69,768.25,763.66,768.16,2693678080,THB
2010-06-11,774.58,774.86,766.78,769.55,2553164032,THB
2010-06-14,774.0,782.59,772.21,781.13,3962072064,THB
2010-06-15,780.75,783.35,777.21,780.37,3931632896,THB
2010-06-16,787.16,790.9,784.28,786.64,4149859072,THB
2010-06-17,791.49,793.45,786.41,789.34,3104539904,THB
2010-06-18,790.51,792.36,786.29,791.85,4558008832,THB
2010-06-21,799.49,807.69,799.07,806.07,3786272000,THB
2010-06-22,804.27,808.76,803.91,804.13,4078735872,THB
2010-06-23,803.48,807.73,802.46,806.52,3609158912,THB
2010-06-24,808.69,808.97,793.19,793.19,5434101248,THB
2010-06-25,792.99,797.1,786.51,793.67,3420720128,THB
2010-06-28,798.12,804.4,798.12,804.4,3557097984,THB
2010-06-29,801.1,804.45,794.68,799.09,3670243072,THB
