Date,Open,High,Low,Close,Volume,Currency
2010-03-22,6846.65,6867.5,6797.67,6866.43,54797568,CHF
2010-03-23,6869.5,6917.45,6860.85,6877.16,47478880,CHF
2010-03-24,6898.53,6904.68,6841.5,6879.95,43724980,CHF
2010-03-25,6884.48,6904.54,6871.37,6894.17,45634208,CHF
2010-03-26,6886.0,6892.51,6822.67,6838.95,45237824,CHF
2010-03-29,6847.1,6860.41,6821.99,6850.58,38726892,CHF
2010-03-30,6882.63,6904.6,6867.79,6871.42,71480192,CHF
2010-03-31,6870.21,6906.61,6847.39,6873.37,56612208,CHF
2010-04-01,6876.94,6900.68,6857.63,6888.92,53124464,CHF
2010-04-05,6888.9,6888.9,6888.9,6888.9,0,CHF
2010-04-06,6928.32,6934.42,6860.15,6886.21,57649376,CHF
2010-04-07,6882.85,6885.92,6841.96,6843.49,51730100,CHF
2010-04-08,6808.42,6814.83,6753.83,6791.01,64052080,CHF
2010-04-09,6824.48,6894.21,6818.58,6888.97,46359932,CHF
2010-04-12,6905.99,6943.07,6901.72,6910.96,58911472,CHF
2010-04-13,6893.68,6912.06,6865.57,6885.86,42688872,CHF
2010-04-14,6921.59,6933.17,6886.74,6916.59,53778028,CHF
2010-04-15,6951.33,6990.7,6921.13,6967.56,64957216,CHF
2010-04-16,6966.69,6981.28,6869.14,6893.69,103634032,CHF
2010-04-19,6816.43,6842.76,6775.16,6803.68,0,CHF
2010-04-20,6838.8,6891.49,6828.7,6841.91,65671008,CHF
2010-04-21,6876.42,6876.42,6802.43,6814.71,57621972,CHF
2010-04-22,6800.11,6829.98,6697.99,6720.09,108569256,CHF
2010-04-23,6734.73,6780.64,6703.27,6767.97,68278616,CHF
2010-04-26,6821.6,6828.78,6796.54,6803.74,56506336,CHF
2010-04-27,6792.78,6800.09,6667.47,6667.47,67285432,CHF
2010-04-28,6608.53,6653.16,6555.86,6576.39,88452984,CHF
2010-04-29,6618.53,6681.65,6589.61,6665.84,73268544,CHF
2010-04-30,6647.44,6683.66,6591.09,6616.82,63410712,CHF
2010-05-03,6604.15,6612.45,6574.34,6607.71,38365608,CHF
2010-05-04,6626.15,6641.24,6477.27,6488.42,92812968,CHF
2010-05-05,6499.58,6510.57,6409.31,6448.49,99868960,CHF
2010-05-06,6404.98,6489.8,6368.37,6387.52,91745608,CHF
