Date,Open,High,Low,Close,Volume,Currency
2010-03-22,33022.7,33193.84,32876.72,33142.02,156847296,MXN
2010-03-23,33142.73,33410.24,33122.07,33361.27,181161248,MXN
2010-03-24,33361.34,33474.9,33159.52,33160.97,199658448,MXN
2010-03-25,33156.88,33366.36,33125.23,33164.33,168436064,MXN
2010-03-26,33165.43,33336.8,33082.59,33147.81,151328016,MXN
2010-03-29,33147.04,33448.48,33144.7,33416.1,124009280,MXN
2010-03-30,33420.76,33589.09,33288.95,33399.46,139166240,MXN
2010-03-31,33399.87,33429.67,33214.47,33266.43,239511344,MXN
2010-04-05,33267.47,33779.35,33266.67,33648.89,222997392,MXN
2010-04-06,33649.94,33821.72,33611.67,33801.21,162046768,MXN
2010-04-07,33801.29,33802.59,33589.38,33632.35,208564448,MXN
2010-04-08,33630.84,33667.25,33314.93,33567.35,190739696,MXN
2010-04-09,33569.58,33841.07,33524.42,33840.85,137222208,MXN
2010-04-12,33831.92,33925.05,33681.23,33852.39,94528712,MXN
2010-04-13,33805.23,33877.8,33727.2,33819.04,138260672,MXN
2010-04-14,33822.03,34113.96,33822.03,34113.93,213715728,MXN
2010-04-15,34108.69,34223.87,34003.96,34134.23,145624208,MXN
2010-04-16,34162.67,34163.27,33484.34,33621.39,201060912,MXN
2010-04-19,33588.65,33700.34,33212.35,33439.77,138270800,MXN
2010-04-20,33439.02,33823.38,33439.02,33813.16,140801104,MXN
2010-04-21,33814.58,33822.32,33480.85,33517.18,153202576,MXN
2010-04-22,33509.7,33674.22,33210.08,33658.37,210836672,MXN
2010-04-23,33676.23,33954.09,33617.69,33853.69,234711072,MXN
2010-04-26,33856.38,33999.92,33746.93,33771.55,186455328,MXN
2010-04-27,33722.51,33722.51,32679.36,32679.36,236783472,MXN
2010-04-28,32679.17,32955.08,32385.09,32952.86,218786352,MXN
2010-04-29,32953.77,33228.02,32850.2,32861.0,215587008,MXN
2010-04-30,32861.16,33246.25,32653.8,32687.32,287810432,MXN
2010-05-03,32692.67,32974.68,32525.39,32832.45,186296000,MXN
2010-05-04,32803.9,32809.56,31913.42,32120.65,269130496,MXN
2010-05-05,32112.9,32258.3,31574.53,31995.28,239897072,MXN
2010-05-06,31997.98,32258.06,30649.66,31398.97,287186816,MXN
2010-05-07,31404.13,31602.19,30981.21,31488.82,246336736,MXN
2010-05-10,31538.48,32696.49,31538.48,32276.92,215496400,MXN
2010-05-11,32277.11,32360.51,32038.85,32119.11,189247360,MXN
2010-05-12,32140.63,32395.65,32140.63,32379.63,205184752,MXN
2010-05-13,32381.03,32493.73,32263.58,32342.43,124886920,MXN
2010-05-14,32339.58,32339.58,31721.53,31812.73,141704688,MXN
2010-05-17,31804.03,31947.43,31338.87,31580.63,155416608,MXN
2010-05-18,31580.49,31919.14,31136.35,31136.35,157100768,MXN
2010-05-19,31136.15,31142.5,30834.62,30992.76,229155936,MXN
2010-05-20,30976.86,30976.86,30255.36,30368.08,277577504,MXN
2010-05-21,30376.64,30809.47,30074.06,30629.15,255529616,MXN
2010-05-24,30629.18,30938.15,30563.51,30759.48,136201552,MXN
2010-05-25,30756.75,30756.75,30102.09,30634.17,318166080,MXN
2010-05-26,30667.73,31478.19,30667.73,31328.49,325023296,MXN
2010-05-27,31329.13,32056.35,31329.13,32056.16,259211840,MXN
2010-05-28,32056.11,32071.92,31419.28,31547.55,201026480,MXN
2010-05-31,31547.33,32126.22,31547.33,32038.53,216497456,MXN
2010-06-01,31988.63,31988.63,31245.29,31245.83,251248096,MXN
2010-06-02,31245.92,31544.66,31227.83,31411.91,175993392,MXN
2010-06-03,31420.7,31667.82,31240.9,31331.86,153007872,MXN
2010-06-04,31312.23,31312.23,30973.03,30992.65,159165792,MXN
2010-06-07,31014.99,31137.61,30690.54,30739.01,101899080,MXN
2010-06-08,30739.31,31073.97,30739.31,31059.83,152759424,MXN
2010-06-09,31060.56,31508.63,31060.56,31209.33,170444832,MXN
2010-06-10,31231.96,31916.55,31231.96,31910.22,223473408,MXN
2010-06-11,31904.37,32246.89,31670.28,32124.28,152371936,MXN
