Date,Open,High,Low,Close,Volume,Currency
2010-03-22,11876.64,11991.45,11843.95,11967.17,211048736,CAD
2010-03-23,11987.98,12047.97,11967.17,12044.54,193096432,CAD
2010-03-24,12008.65,12044.54,11962.71,11962.97,206398800,CAD
2010-03-25,12010.06,12048.67,11957.74,11958.11,208243296,CAD
2010-03-26,11992.03,12040.64,11909.08,11957.37,197405232,CAD
2010-03-29,11999.47,12034.94,11957.37,12029.72,159040928,CAD
2010-03-30,12042.17,12061.71,12022.83,12044.21,153305632,CAD
2010-03-31,12063.33,12080.47,11983.35,12037.73,192925584,CAD
2010-04-01,12069.91,12157.35,12037.73,12151.06,190576800,CAD
2010-04-05,12190.83,12203.39,12151.06,12186.35,146615872,CAD
2010-04-06,12135.57,12200.07,12120.25,12156.71,163854864,CAD
2010-04-07,12137.14,12159.97,12059.31,12110.9,210588944,CAD
2010-04-08,12060.65,12139.01,11975.94,12113.53,179570416,CAD
2010-04-09,12150.53,12211.12,12113.53,12176.84,163373520,CAD
2010-04-12,12167.53,12214.39,12139.23,12148.66,163197152,CAD
2010-04-13,12091.45,12148.66,12025.41,12101.52,145607264,CAD
2010-04-14,12141.7,12211.57,12095.93,12204.41,177248576,CAD
2010-04-15,12178.62,12249.54,12168.71,12211.52,164368544,CAD
2010-04-16,12190.58,12211.52,12019.9,12070.66,209408384,CAD
2010-04-19,11974.71,12102.97,11953.95,12102.97,185354976,CAD
2010-04-20,12122.03,12159.9,12102.97,12113.53,179248464,CAD
2010-04-21,12135.29,12158.18,12070.69,12134.56,182199712,CAD
2010-04-22,12053.3,12160.87,11985.32,12160.87,201924704,CAD
2010-04-23,12167.85,12248.41,12126.79,12239.64,192225760,CAD
2010-04-26,12254.22,12297.88,12234.68,12280.97,155928304,CAD
2010-04-27,12255.55,12321.76,12143.16,12146.74,221201280,CAD
2010-04-28,12165.01,12173.27,12075.79,12076.89,222609008,CAD
2010-04-29,12110.72,12227.03,12076.89,12200.32,223547344,CAD
2010-04-30,12247.37,12308.13,12184.25,12210.7,246932720,CAD
2010-05-03,12273.98,12294.63,12165.84,12196.51,179449568,CAD
2010-05-04,12164.88,12196.51,11954.5,12030.86,256142736,CAD
2010-05-05,11862.43,12030.86,11754.28,11875.13,284613824,CAD
2010-05-06,11845.75,11949.0,11422.73,11842.43,365163072,CAD
2010-05-07,11749.9,11842.43,11556.95,11692.43,281577536,CAD
2010-05-10,12011.82,12024.49,11692.43,11947.9,205450432,CAD
2010-05-11,11931.71,12093.51,11916.16,12000.61,255876304,CAD
2010-05-12,12102.63,12204.98,12000.61,12195.97,237159760,CAD
2010-05-13,12170.89,12210.39,12059.06,12116.59,205673792,CAD
2010-05-14,12088.02,12116.59,11891.04,12014.97,210463904,CAD
2010-05-17,11999.83,12014.97,11695.61,11813.0,230554000,CAD
2010-05-18,11891.1,11959.69,11760.78,11764.51,227515296,CAD
2010-05-19,11700.46,11787.21,11514.14,11665.77,260917696,CAD
2010-05-20,11494.98,11665.77,11381.41,11405.95,287930304,CAD
2010-05-21,11244.45,11539.11,11179.97,11521.35,212583008,CAD
2010-05-25,11270.73,11522.29,11263.16,11518.08,253635808,CAD
2010-05-26,11699.74,11723.88,11518.06,11543.9,295819712,CAD
2010-05-27,11608.64,11755.09,11543.9,11749.12,235526896,CAD
2010-05-28,11778.93,11799.56,11640.85,11671.44,174609696,CAD
2010-05-31,11765.45,11762.99,11671.44,11762.99,58672800,CAD
2010-06-01,11702.2,11778.84,11566.85,11571.97,247640304,CAD
2010-06-02,11619.17,11780.67,11569.34,11780.67,277592992,CAD
2010-06-03,11824.24,11842.29,11692.03,11811.87,227712304,CAD
2010-06-04,11661.89,11811.87,11548.93,11569.61,212460608,CAD
2010-06-07,11570.37,11616.67,11493.63,11504.74,201112400,CAD
2010-06-08,11522.17,11559.47,11402.45,11517.18,230881504,CAD
2010-06-09,11575.02,11613.08,11436.37,11450.64,208969104,CAD
2010-06-10,11514.78,11637.83,11450.64,11635.85,177325296,CAD
2010-06-11,11591.38,11693.69,11586.35,11666.92,150092304,CAD
2010-06-14,11730.06,11781.2,11652.98,11667.34,164946096,CAD
2010-06-15,11702.13,11907.54,11670.53,11907.54,188665904,CAD
2010-06-16,11873.92,11938.59,11864.87,11921.05,166226000,CAD
2010-06-17,11968.44,11981.36,11908.88,11945.97,177607600,CAD
2010-06-18,11990.17,12017.92,11927.59,11927.59,355137888,CAD
2010-06-21,12042.75,12077.01,11905.65,11936.08,192616192,CAD
2010-06-22,11910.61,11952.89,11796.37,11797.94,158052000,CAD
2010-06-23,11784.13,11849.83,11729.95,11807.5,164066000,CAD
2010-06-24,11774.91,11805.75,11661.07,11670.18,131022200,CAD
2010-06-25,11692.92,11774.42,11619.36,11707.85,150615104,CAD
2010-06-28,11715.25,11718.9,11602.22,11607.0,142217296,CAD
2010-06-29,11508.07,11594.61,11244.03,11263.83,237759600,CAD
2010-06-30,11266.53,11415.26,11258.36,11294.42,198625600,CAD
2010-07-02,11245.26,11311.01,11146.79,11196.06,149305408,CAD
2010-07-05,11163.03,11192.37,11065.53,11092.5,54282400,CAD
2010-07-06,11195.31,11269.88,11093.92,11200.17,218609792,CAD
2010-07-07,11227.69,11397.34,11201.33,11397.27,315669408,CAD
2010-07-08,11482.61,11475.72,11330.61,11433.37,222372496,CAD
2010-07-09,11430.74,11570.45,11393.86,11570.45,159364992,CAD
2010-07-12,11567.36,11600.81,11497.32,11565.76,146214704,CAD
2010-07-13,11678.39,11695.56,11573.25,11672.84,196260608,CAD
2010-07-14,11673.0,11694.05,11606.84,11620.16,169886400,CAD
2010-07-15,11643.11,11741.77,11552.4,11741.77,191605904,CAD
2010-07-16,11690.19,11741.8,11503.82,11569.65,186759296,CAD
2010-07-19,11542.22,11580.3,11447.8,11543.47,157275104,CAD
2010-07-20,11454.3,11629.88,11446.01,11629.88,187924896,CAD
2010-07-21,11668.67,11661.42,11465.65,11513.33,166371008,CAD
2010-07-22,11573.2,11667.95,11513.37,11667.76,182217200,CAD
2010-07-23,11679.04,11722.64,11622.93,11714.21,147800192,CAD
2010-07-26,11742.41,11768.46,11679.62,11746.07,134590592,CAD
2010-07-27,11803.73,11822.68,11683.83,11716.69,190675696,CAD
2010-07-28,11667.54,11716.29,11659.11,11696.63,174776192,CAD
2010-07-29,11746.77,11771.78,11634.13,11728.64,205437792,CAD
2010-07-30,11667.89,11746.8,11603.81,11713.43,153668096,CAD
2010-08-03,11829.32,11872.89,11713.91,11782.6,228189296,CAD
2010-08-04,11843.8,11855.92,11784.79,11845.05,191089904,CAD
2010-08-05,11819.17,11845.43,11747.79,11774.77,227178896,CAD
2010-08-06,11752.9,11822.38,11700.08,11799.97,187277696,CAD
2010-08-09,11846.69,11878.36,11783.4,11863.56,146656096,CAD
2010-08-10,11778.43,11871.25,11749.46,11838.29,166176896,CAD
2010-08-11,11736.42,11833.87,11565.03,11582.21,187670896,CAD
2010-08-12,11513.16,11579.71,11480.52,11523.6,243570000,CAD
2010-08-13,11505.17,11548.57,11491.07,11528.25,164371904,CAD
2010-08-16,11527.7,11558.82,11493.62,11552.76,152055008,CAD
2010-08-17,11677.33,11744.84,11552.63,11728.64,207051296,CAD
2010-08-18,11722.49,11806.46,11646.03,11781.08,173697904,CAD
2010-08-19,11775.28,11801.15,11669.33,11710.18,187374000,CAD
2010-08-20,11672.53,11736.18,11594.72,11722.07,160721104,CAD
2010-08-23,11751.52,11774.36,11712.28,11718.63,162052800,CAD
2010-08-24,11610.81,11706.94,11553.43,11557.35,193425296,CAD
2010-08-25,11515.08,11648.12,11469.25,11648.12,202774400,CAD
2010-08-26,11667.25,11707.07,11618.69,11653.18,190937904,CAD
2010-08-27,11700.42,11887.81,11637.95,11879.72,178412304,CAD
2010-08-30,11873.12,11952.64,11865.75,11895.55,137654000,CAD
2010-08-31,11894.34,11990.76,11845.17,11913.86,231320896,CAD
2010-09-01,11978.29,12016.06,11914.23,12003.78,236076608,CAD
2010-09-02,12040.34,12111.94,12003.7,12111.09,215058496,CAD
2010-09-03,12136.6,12197.89,12108.97,12144.92,199106704,CAD
2010-09-07,12148.05,12146.49,12070.58,12101.98,147623808,CAD
2010-09-08,12102.41,12160.7,12040.17,12042.26,191014208,CAD
2010-09-09,12106.43,12116.05,11997.72,12033.53,185537792,CAD
2010-09-10,12023.51,12097.09,12021.8,12097.09,213188400,CAD
2010-09-13,12147.35,12156.97,12101.41,12149.86,189965696,CAD
2010-09-14,12151.14,12251.47,12147.03,12192.98,207852800,CAD
2010-09-15,12160.1,12191.92,12081.57,12144.84,184877104,CAD
2010-09-16,12145.96,12180.19,12106.45,12173.35,198796400,CAD
2010-09-17,12262.3,12250.78,12140.82,12164.56,437462400,CAD
2010-09-20,12190.47,12281.36,12166.67,12234.51,191041200,CAD
2010-09-21,12256.85,12253.16,12129.84,12170.57,255126800,CAD
2010-09-22,12209.26,12253.15,12139.75,12147.26,186610304,CAD
