Date,Open,High,Low,Close,Volume,Currency
2011-03-07,3054.43,3074.93,3047.59,3066.52,0,SGD
2011-03-08,3063.58,3105.9,3062.52,3103.84,0,SGD
2011-03-09,3110.54,3113.02,3087.84,3092.9,0,SGD
2011-03-10,3093.79,3094.38,3070.55,3075.44,0,SGD
2011-03-11,3053.07,3058.27,3024.17,3043.49,0,SGD
2011-03-14,3031.16,3042.2,3020.65,3030.86,0,SGD
2011-03-15,3008.01,3009.23,2932.35,2946.08,0,SGD
2011-03-16,2970.7,2980.7,2946.42,2971.0,0,SGD
2011-03-17,2935.08,2950.94,2933.28,2942.88,0,SGD
2011-03-18,2964.87,2967.47,2919.98,2935.78,0,SGD
2011-03-21,2952.62,2990.47,2946.35,2983.51,0,SGD
2011-03-22,2991.44,3010.85,2980.7,3002.75,0,SGD
2011-03-23,2996.02,3027.23,2996.02,3022.19,0,SGD
2011-03-24,3024.09,3052.03,3013.59,3043.03,0,SGD
2011-03-25,3052.88,3077.6,3051.62,3070.84,0,SGD
2011-03-28,3063.04,3068.34,3044.33,3057.38,0,SGD
2011-03-29,3058.49,3063.71,3044.01,3056.95,0,SGD
2011-03-30,3071.43,3109.83,3065.29,3095.32,0,SGD
2011-03-31,3103.83,3115.47,3092.61,3105.85,0,SGD
2011-04-01,3107.9,3131.07,3103.22,3120.47,0,SGD
2011-04-04,3130.24,3145.13,3128.2,3140.62,0,SGD
2011-04-05,3138.1,3165.45,3133.59,3146.75,0,SGD
2011-04-06,3153.56,3170.33,3141.71,3170.33,0,SGD
2011-04-07,3167.7,3174.21,3157.42,3171.65,0,SGD
2011-04-08,3166.9,3187.31,3159.28,3187.31,0,SGD
2011-04-11,3172.85,3181.41,3155.59,3160.44,0,SGD
2011-04-12,3149.04,3149.57,3127.05,3138.0,0,SGD
2011-04-13,3145.12,3179.17,3133.86,3172.08,0,SGD
2011-04-14,3166.36,3170.72,3154.79,3158.92,0,SGD
2011-04-15,3163.34,3167.34,3148.1,3153.3,0,SGD
2011-04-18,3158.33,3168.61,3136.23,3144.38,0,SGD
2011-04-19,3125.26,3130.13,3110.27,3125.37,0,SGD
2011-04-20,3140.88,3167.53,3126.31,3165.8,0,SGD
2011-04-21,3170.02,3204.21,3169.99,3194.73,0,SGD
2011-04-25,3205.16,3208.34,3186.9,3187.72,0,SGD
2011-04-26,3182.96,3182.98,3168.87,3171.83,0,SGD
2011-04-27,3192.64,3206.11,3154.3,3182.68,0,SGD
2011-04-28,3199.92,3201.18,3179.67,3184.99,0,SGD
2011-04-29,3195.53,3196.44,3169.11,3179.86,0,SGD
2011-05-03,3180.68,3182.46,3143.73,3153.57,0,SGD
2011-05-04,3149.25,3149.82,3101.48,3113.76,0,SGD
2011-05-05,3108.69,3119.33,3097.65,3109.85,0,SGD
2011-05-06,3094.16,3104.12,3078.26,3099.52,0,SGD
2011-05-09,3108.53,3146.31,3108.53,3136.94,0,SGD
2011-05-10,3140.78,3164.98,3130.45,3156.26,0,SGD
2011-05-11,3167.97,3180.53,3159.5,3177.18,0,SGD
2011-05-12,3163.04,3166.64,3129.19,3130.45,0,SGD
2011-05-13,3152.13,3167.56,3133.46,3163.68,0,SGD
2011-05-16,3144.21,3147.11,3126.8,3136.48,0,SGD
2011-05-18,3132.67,3145.1,3124.93,3141.21,0,SGD
2011-05-19,3151.02,3180.52,3149.32,3172.56,0,SGD
2011-05-20,3172.81,3176.23,3160.27,3168.54,0,SGD
2011-05-23,3149.83,3149.92,3106.68,3110.48,0,SGD
2011-05-24,3105.82,3121.66,3105.32,3113.09,0,SGD
2011-05-25,3107.83,3118.65,3092.8,3118.65,0,SGD
2011-05-26,3117.57,3125.72,3111.96,3123.7,0,SGD
2011-05-27,3126.41,3154.52,3125.49,3135.52,0,SGD
2011-05-30,3141.59,3159.79,3135.85,3140.6,0,SGD
2011-05-31,3142.51,3164.94,3139.16,3159.93,0,SGD
2011-06-01,3161.87,3181.53,3157.2,3172.87,0,SGD
2011-06-02,3144.27,3162.07,3139.69,3160.6,0,SGD
2011-06-03,3159.42,3161.17,3138.21,3145.67,0,SGD
2011-06-06,3132.82,3137.19,3106.31,3113.73,0,SGD
2011-06-07,3102.1,3117.32,3088.96,3115.95,0,SGD
2011-06-08,3106.51,3112.1,3096.73,3102.98,0,SGD
2011-06-09,3104.71,3114.3,3096.08,3097.57,0,SGD
2011-06-10,3105.31,3109.27,3076.51,3078.35,0,SGD
2011-06-13,3067.27,3068.94,3056.3,3059.04,0,SGD
2011-06-14,3060.13,3069.34,3040.22,3057.39,0,SGD
2011-06-15,3066.75,3072.19,3052.07,3054.82,0,SGD
2011-06-16,3040.86,3042.15,3011.76,3020.13,0,SGD
2011-06-17,3024.29,3026.07,2999.19,3005.28,0,SGD
2011-06-20,3008.63,3033.16,3006.84,3013.6,0,SGD
2011-06-21,3031.63,3064.85,3028.78,3053.51,0,SGD
