Date,Open,High,Low,Close,Volume,Currency
2010-03-22,3069.66,3083.34,3061.76,3074.58,9649899520,CNY
2010-03-23,3076.96,3082.97,3051.21,3053.12,9286700032,CNY
2010-03-24,3058.93,3076.75,3052.21,3056.81,8926600192,CNY
2010-03-25,3051.36,3051.36,3012.31,3019.18,9019100160,CNY
2010-03-26,3017.22,3067.71,3009.91,3059.72,9307799552,CNY
2010-03-29,3076.05,3130.28,3071.69,3123.8,13189499904,CNY
2010-03-30,3123.83,3132.58,3113.77,3128.47,10243200000,CNY
2010-03-31,3129.57,3130.11,3101.76,3109.11,10114299904,CNY
2010-04-01,3111.93,3148.34,3111.93,3147.42,12677900288,CNY
2010-04-02,3154.77,3159.6,3141.87,3157.96,12278899712,CNY
2010-04-06,3170.61,3177.97,3141.93,3158.68,11681500160,CNY
2010-04-07,3156.31,3161.08,3132.24,3148.22,10352199680,CNY
2010-04-08,3143.45,3143.83,3110.26,3118.71,11464299520,CNY
2010-04-09,3118.93,3146.46,3114.79,3145.35,10542600192,CNY
2010-04-12,3151.89,3156.21,3111.9,3129.26,13796299776,CNY
2010-04-13,3129.69,3173.63,3101.48,3161.25,14398199808,CNY
2010-04-14,3161.55,3167.66,3145.55,3166.18,10643600384,CNY
2010-04-15,3168.14,3181.66,3135.99,3164.97,10626400256,CNY
2010-04-16,3159.67,3159.67,3121.36,3130.3,8093499904,CNY
2010-04-19,3096.78,3096.78,2977.77,2980.3,12936099840,CNY
2010-04-20,2980.08,2998.91,2941.35,2979.53,10173200384,CNY
2010-04-21,2984.62,3034.33,2972.1,3033.28,11630900224,CNY
2010-04-22,3021.29,3023.64,2978.46,2999.48,12172699648,CNY
2010-04-23,2995.57,3015.63,2966.78,2983.54,10351899648,CNY
2010-04-26,2988.08,2996.83,2965.83,2969.5,8914700288,CNY
2010-04-27,2962.14,2962.14,2866.34,2907.93,10827100160,CNY
2010-04-28,2883.17,2916.68,2865.47,2900.33,8374900224,CNY
2010-04-29,2912.2,2928.93,2867.94,2868.43,8934400000,CNY
2010-04-30,2867.65,2875.81,2820.95,2870.61,8873400320,CNY
2010-05-04,2821.35,2862.55,2809.13,2835.28,6608000000,CNY
2010-05-05,2804.51,2857.29,2770.33,2857.15,9534100480,CNY
2010-05-06,2838.95,2838.95,2735.0,2739.7,9264900096,CNY
2010-05-07,2685.99,2732.18,2665.81,2688.38,9202599936,CNY
2010-05-10,2690.86,2713.06,2646.59,2698.76,8185399808,CNY
2010-05-11,2745.6,2751.07,2638.53,2647.57,8789699584,CNY
2010-05-12,2628.02,2668.12,2604.2,2655.71,8254400000,CNY
2010-05-13,2653.58,2711.07,2646.9,2710.51,8307800064,CNY
2010-05-14,2692.1,2712.86,2677.19,2696.63,7336800256,CNY
2010-05-17,2663.88,2663.88,2557.24,2559.93,8264800256,CNY
2010-05-18,2555.14,2603.32,2529.62,2594.78,8279199744,CNY
2010-05-19,2581.63,2623.96,2554.98,2587.81,7137200128,CNY
2010-05-20,2571.54,2609.64,2551.45,2555.94,6639000064,CNY
2010-05-21,2492.57,2584.45,2481.97,2583.52,8385600000,CNY
2010-05-24,2596.32,2680.49,2596.32,2673.42,11249699840,CNY
2010-05-25,2654.36,2659.74,2609.09,2622.63,9326900224,CNY
2010-05-26,2620.85,2644.94,2610.51,2625.79,6871000064,CNY
2010-05-27,2615.1,2662.08,2583.55,2655.92,8788400128,CNY
2010-05-28,2680.4,2686.54,2641.41,2655.77,8694800384,CNY
2010-05-31,2647.87,2665.39,2591.53,2592.15,7874400256,CNY
2010-06-01,2577.76,2598.9,2534.27,2568.28,7466599936,CNY
