Date,Open,High,Low,Close,Volume,Currency
2010-03-21,6699.78,6724.76,6677.23,6722.04,119436784,SAR
2010-03-22,6722.04,6730.23,6688.5,6692.61,126458480,SAR
2010-03-23,6692.61,6740.28,6692.0,6738.83,122421360,SAR
2010-03-24,6738.83,6759.86,6722.01,6756.98,115176184,SAR
2010-03-27,6756.98,6801.66,6756.05,6801.64,111711520,SAR
2010-03-28,6801.64,6817.9,6774.86,6795.75,106890880,SAR
2010-03-29,6795.75,6805.23,6754.46,6770.05,103811608,SAR
2010-03-30,6770.05,6824.74,6770.05,6814.99,139972544,SAR
2010-03-31,6814.99,6823.82,6772.49,6801.01,109976520,SAR
2010-04-03,6801.01,6843.14,6800.09,6826.48,117101984,SAR
2010-04-04,6826.48,6832.5,6802.43,6822.34,96080984,SAR
2010-04-05,6822.34,6829.35,6765.26,6805.32,113570160,SAR
2010-04-06,6805.32,6831.15,6745.53,6759.47,117394504,SAR
2010-04-07,6759.47,6774.98,6738.54,6774.98,99621600,SAR
2010-04-10,6774.98,6871.69,6774.56,6868.83,134727872,SAR
2010-04-11,6868.83,6897.05,6859.0,6894.55,159595232,SAR
2010-04-12,6894.55,6897.89,6869.65,6883.14,160024416,SAR
2010-04-13,6883.14,6902.22,6859.47,6883.8,214698592,SAR
2010-04-14,6883.81,6918.9,6863.25,6890.74,182339296,SAR
2010-04-17,6890.74,6895.11,6831.01,6882.01,196177248,SAR
2010-04-18,6882.01,6883.59,6782.95,6844.3,186122512,SAR
2010-04-19,6844.3,6856.28,6808.7,6852.4,199675632,SAR
2010-04-20,6852.4,6856.78,6711.01,6714.59,255019152,SAR
2010-04-21,6714.59,6762.31,6675.67,6730.12,177913552,SAR
2010-04-24,6730.12,6859.11,6726.31,6855.82,189184832,SAR
2010-04-25,6855.82,6908.95,6855.82,6892.94,166578256,SAR
2010-04-26,6892.94,6931.45,6882.8,6929.4,160053840,SAR
2010-04-27,6929.4,6930.37,6890.09,6912.17,143580160,SAR
2010-04-28,6912.17,6912.17,6804.41,6867.97,166988800,SAR
2010-05-01,6867.97,6917.33,6867.97,6916.79,174316816,SAR
2010-05-02,6916.79,6930.88,6888.75,6907.34,164624032,SAR
2010-05-03,6907.34,6908.52,6866.77,6891.72,156743904,SAR
2010-05-04,6891.72,6939.33,6879.23,6886.08,170434560,SAR
2010-05-05,6886.08,6886.08,6794.9,6817.86,152687584,SAR
2010-05-08,6817.86,6817.86,6469.3,6516.71,220872800,SAR
2010-05-09,6516.71,6674.19,6516.71,6674.04,176975488,SAR
