Date,Open,High,Low,Close,Volume,Currency
2011-03-17,8190.5,8282.69,8150.73,8282.69,3047934,TWD
2011-03-18,8343.79,8399.17,8312.88,8394.75,3085347,TWD
2011-03-21,8421.66,8508.2,8394.22,8467.71,2463966,TWD
2011-03-22,8523.27,8552.82,8508.04,8508.04,2781447,TWD
2011-03-23,8529.93,8551.12,8481.96,8545.08,2474510,TWD
2011-03-24,8589.71,8603.43,8550.6,8576.4,2431724,TWD
2011-03-25,8645.37,8658.05,8587.84,8610.39,2449445,TWD
2011-03-28,8587.99,8604.24,8549.26,8553.06,1942865,TWD
2011-03-29,8538.44,8596.57,8522.57,8596.57,2214088,TWD
2011-03-30,8605.83,8671.59,8605.83,8646.31,2543938,TWD
2011-03-31,8683.69,8685.44,8608.05,8683.3,2411346,TWD
2011-04-01,8697.84,8705.13,8654.4,8705.13,1912590,TWD
2011-04-06,8772.13,8860.02,8767.21,8851.98,2992640,TWD
2011-04-07,8884.84,8901.72,8828.92,8901.72,2638389,TWD
2011-04-08,8904.44,8929.06,8862.49,8894.54,3122639,TWD
2011-04-11,8922.75,8922.75,8836.38,8880.27,2322010,TWD
2011-04-12,8839.22,8839.22,8708.86,8732.59,2297165,TWD
2011-04-13,8727.95,8780.2,8700.08,8780.2,2134754,TWD
2011-04-14,8787.75,8835.39,8772.3,8802.73,2277104,TWD
2011-04-15,8828.63,8834.07,8716.7,8718.12,2372336,TWD
2011-04-18,8752.56,8764.65,8703.11,8714.48,2042484,TWD
2011-04-19,8643.4,8658.97,8592.23,8638.55,2232986,TWD
2011-04-20,8704.48,8813.28,8698.97,8813.28,2643204,TWD
2011-04-21,8893.07,8992.08,8892.06,8957.65,3689452,TWD
2011-04-22,8980.43,8992.67,8956.07,8969.43,2776685,TWD
2011-04-25,9015.91,9037.09,8950.75,8950.75,2696858,TWD
2011-04-26,8894.01,8966.86,8866.74,8948.14,2392177,TWD
2011-04-27,9012.28,9060.5,9012.28,9049.25,3110054,TWD
2011-04-28,9088.97,9099.75,9021.36,9040.77,3087013,TWD
2011-04-29,9050.49,9058.78,8943.99,9007.87,3385367,TWD
2011-05-03,9014.33,9018.7,8895.25,8946.08,2675446,TWD
2011-05-04,8937.3,8947.35,8864.55,8947.35,2336702,TWD
2011-05-05,8930.24,9029.58,8907.97,9018.61,2702690,TWD
2011-05-06,8997.73,9018.4,8954.81,8977.23,2796613,TWD
2011-05-09,9001.8,9081.26,8984.43,9035.48,2852582,TWD
2011-05-10,9048.25,9055.91,9007.93,9023.28,2172873,TWD
2011-05-11,9073.88,9082.01,9014.36,9020.4,2358747,TWD
2011-05-12,8977.77,9052.98,8963.24,9033.68,2339874,TWD
2011-05-13,9039.55,9059.46,8986.18,9006.61,2471709,TWD
2011-05-16,8996.7,8996.7,8911.71,8911.71,1993875,TWD
2011-05-17,8917.25,8928.99,8854.14,8884.09,2180048,TWD
2011-05-18,8885.4,8946.99,8885.4,8944.84,2060665,TWD
2011-05-19,8952.25,9026.18,8888.21,8892.88,2573115,TWD
2011-05-20,8944.38,8944.38,8822.75,8837.03,2277698,TWD
2011-05-23,8767.3,8776.46,8695.34,8747.51,2123703,TWD
2011-05-24,8730.23,8756.9,8673.38,8756.61,2153468,TWD
2011-05-25,8732.3,8763.64,8682.49,8727.09,2107496,TWD
2011-05-26,8797.29,8807.08,8751.52,8788.4,1907994,TWD
2011-05-27,8806.29,8860.03,8803.59,8810.0,2083727,TWD
